strategy,k,kernel,c,degree,f1,elapsed_time
mean,33,poly,7,10,0.42694176085988955,0.063251
median,178,poly,6,7,0.4045267489711934,0.090998
mean,183,poly,18,18,0.40746619635508524,0.079994
most_frequent,18,rbf,15,9,0.48310244209557707,0.098976
median,78,poly,11,18,0.41319585764030214,0.079974
median,13,sigmoid,14,4,0.40663157302058905,0.071001
median,138,linear,10,15,0.511611852000868,0.076571
mean,208,poly,19,9,0.4045267489711934,0.092346
most_frequent,173,poly,10,7,0.4045267489711934,0.123072
median,228,sigmoid,1,13,0.4474412527044106,0.0776
median,13,poly,6,7,0.4157711467652988,0.067694
mean,13,poly,18,18,0.4273616139113215,0.05786
mean,183,poly,10,15,0.4045267489711934,0.07904
median,78,linear,11,18,0.5427307398932113,0.099413
median,13,sigmoid,14,7,0.40663157302058905,0.074964
mean,228,sigmoid,1,13,0.4474412527044106,0.071676
median,183,poly,6,7,0.4045267489711934,0.094969
median,78,poly,11,15,0.4280106724551169,0.080394
median,228,poly,1,13,0.4045267489711934,0.090188
median,228,poly,18,13,0.4045267489711934,0.099242
mean,33,poly,7,10,0.42694176085988955,0.061936
mean,173,poly,18,18,0.40746619635508524,0.083208
median,228,sigmoid,18,18,0.5392855216653845,0.079322
most_frequent,18,sigmoid,15,9,0.48793726741095156,0.094699
median,33,poly,10,15,0.44175657567470433,0.067727
most_frequent,173,poly,6,7,0.4045267489711934,0.123414
mean,183,poly,19,18,0.40746619635508524,0.083512
median,178,poly,6,15,0.4045267489711934,0.087403
median,13,sigmoid,14,7,0.40663157302058905,0.069679
median,33,poly,7,10,0.42694176085988955,0.069262
median,178,poly,11,18,0.40746619635508524,0.086879
mean,173,poly,7,10,0.40746619635508524,0.086159
most_frequent,173,poly,7,7,0.4045267489711934,0.123221
mean,18,rbf,15,9,0.48310244209557707,0.062681
median,33,poly,7,10,0.42694176085988955,0.072937
median,78,poly,6,7,0.4448304998012601,0.0821
median,13,poly,18,4,0.42764865630362703,0.066964
median,138,poly,10,15,0.4045267489711934,0.087036
median,228,sigmoid,11,13,0.5211057947900053,0.086828
most_frequent,178,rbf,15,9,0.4276963396144683,0.113056
mean,33,poly,11,10,0.4443206782388069,0.060907
mean,183,poly,11,18,0.40746619635508524,0.079175
median,183,linear,10,15,0.5243358006515901,0.077141
most_frequent,18,rbf,15,18,0.48310244209557707,0.096469
mean,183,poly,18,15,0.4045267489711934,0.081072
most_frequent,18,linear,10,9,0.5215306064639756,0.106672
median,178,poly,15,18,0.40746619635508524,0.089662
mean,33,poly,7,10,0.42694176085988955,0.06156
mean,183,rbf,15,18,0.4227048866230153,0.082359
median,138,linear,7,15,0.511611852000868,0.079017
median,138,linear,11,15,0.511611852000868,0.077131
mean,33,poly,15,9,0.44175657567470433,0.06255
mean,33,poly,11,10,0.4443206782388069,0.063186
mean,183,poly,7,10,0.40746619635508524,0.097134
median,78,linear,11,18,0.5427307398932113,0.077841
mean,138,linear,7,10,0.511611852000868,0.067934
median,18,rbf,15,9,0.48310244209557707,0.073563
median,78,linear,11,18,0.5427307398932113,0.077675
median,178,poly,11,15,0.4045267489711934,0.086948
median,138,linear,11,15,0.511611852000868,0.077637
median,138,linear,18,18,0.511611852000868,0.075044
mean,33,poly,7,10,0.42694176085988955,0.062291
mean,183,poly,7,18,0.4045267489711934,0.080318
median,78,poly,18,18,0.41319585764030214,0.08267
median,138,linear,10,9,0.511611852000868,0.076119
median,138,linear,10,15,0.511611852000868,0.077945
most_frequent,18,rbf,10,15,0.4535326843679246,0.098934
mean,183,rbf,15,18,0.4227048866230153,0.08006
mean,183,poly,7,10,0.40746619635508524,0.090397
most_frequent,18,linear,10,15,0.5215306064639756,0.103447
mean,183,linear,11,18,0.5243358006515901,0.068678
most_frequent,18,linear,11,18,0.5208034469132867,0.107583
median,138,poly,7,15,0.4045267489711934,0.085539
median,138,poly,10,15,0.4045267489711934,0.084268
median,183,linear,10,15,0.5243358006515901,0.077327
median,138,linear,10,15,0.511611852000868,0.075861
median,78,linear,11,15,0.5427307398932113,0.077012
median,78,poly,11,18,0.41319585764030214,0.081912
median,183,linear,10,15,0.5243358006515901,0.076861
mean,33,poly,10,10,0.4443206782388069,0.059815
median,183,linear,7,15,0.5243358006515901,0.076102
mean,183,linear,7,10,0.5243358006515901,0.068184
mean,33,poly,11,15,0.44175657567470433,0.06
median,78,linear,10,18,0.5427307398932113,0.07631
median,138,linear,7,15,0.511611852000868,0.076114
median,33,poly,11,15,0.44175657567470433,0.068508
median,183,linear,10,15,0.5243358006515901,0.077027
mean,33,poly,7,10,0.42694176085988955,0.063045
median,138,linear,11,15,0.511611852000868,0.078036
median,183,linear,10,15,0.5243358006515901,0.077314
mean,138,linear,11,10,0.511611852000868,0.067863
median,138,linear,10,15,0.511611852000868,0.077697
median,138,linear,10,15,0.511611852000868,0.075952
median,183,linear,10,15,0.5243358006515901,0.076668
mean,183,poly,11,10,0.40746619635508524,0.092289
median,33,poly,10,15,0.44175657567470433,0.072004
median,138,linear,10,15,0.511611852000868,0.078192
median,138,linear,10,15,0.511611852000868,0.077347
mean,33,poly,11,10,0.4443206782388069,0.065488
median,183,linear,10,15,0.5243358006515901,0.083061
median,138,linear,10,15,0.511611852000868,0.084087
median,33,linear,11,18,0.48302701197438036,0.109906
median,183,poly,7,10,0.40746619635508524,0.100477
median,183,linear,10,15,0.5243358006515901,0.090024
median,138,linear,7,15,0.511611852000868,0.079329
median,183,linear,7,15,0.5243358006515901,0.082343
mean,183,linear,10,15,0.5243358006515901,0.071745
mean,183,linear,10,10,0.5243358006515901,0.070634
median,183,linear,10,15,0.5243358006515901,0.080715
