strategy,k,n_neighbors,weights,algorithm,leaf_size,f1,elapsed_time
median,238,7,,brute,46,0.393984962406015,0.093797
median,113,3,distance,auto,47,0.47627380416854104,0.087035
most_frequent,18,4,distance,brute,15,0.4682401376909386,0.140568
mean,178,15,,kd_tree,18,0.37735718606861984,0.102475
mean,28,7,,auto,14,0.39332652619202324,0.086083
mean,73,9,,brute,47,0.397505334216768,0.068377
most_frequent,248,18,uniform,kd_tree,47,0.37735718606861984,0.105927
median,258,5,distance,kd_tree,24,0.39163340449890155,0.066517
most_frequent,103,13,,ball_tree,10,0.37735718606861984,0.091687
mean,188,13,uniform,brute,16,0.37735718606861984,0.061918
mean,178,15,distance,auto,18,0.37735718606861984,0.066856
mean,113,3,distance,auto,16,0.4873849152796521,0.083042
mean,73,9,,brute,47,0.397505334216768,0.081625
median,238,7,,brute,46,0.393984962406015,0.088429
median,18,4,distance,kd_tree,24,0.4682401376909386,0.096942
mean,18,4,distance,brute,15,0.4682401376909386,0.061452
median,238,15,,kd_tree,46,0.37735718606861984,0.07803
median,113,3,distance,auto,47,0.47627380416854104,0.087071
mean,178,13,,kd_tree,18,0.37735718606861984,0.080472
mean,28,7,,ball_tree,10,0.39332652619202324,0.056241
median,238,7,,brute,47,0.393984962406015,0.080428
most_frequent,18,7,distance,brute,15,0.41433550638229005,0.099515
median,238,7,,brute,24,0.393984962406015,0.089496
mean,113,3,distance,brute,47,0.4873849152796521,0.064455
most_frequent,103,13,,ball_tree,10,0.37735718606861984,0.132097
mean,178,15,,ball_tree,10,0.37735718606861984,0.059899
most_frequent,103,13,,auto,10,0.37735718606861984,0.116031
most_frequent,18,4,,brute,15,0.4141730394361973,0.117798
mean,28,7,,kd_tree,14,0.39332652619202324,0.07515
mean,73,18,uniform,kd_tree,47,0.37735718606861984,0.062889
most_frequent,248,18,uniform,kd_tree,10,0.37735718606861984,0.101645
mean,188,13,distance,brute,16,0.37735718606861984,0.079403
most_frequent,18,15,,kd_tree,18,0.37735718606861984,0.12608
mean,178,15,distance,brute,15,0.37735718606861984,0.072917
mean,18,4,uniform,brute,16,0.4141730394361973,0.07205
median,113,4,distance,auto,47,0.4668009863214541,0.083132
mean,18,7,,auto,14,0.39563105294099443,0.083372
median,238,7,,brute,14,0.393984962406015,0.1085
mean,178,13,uniform,brute,16,0.37735718606861984,0.063022
median,258,5,distance,kd_tree,15,0.39163340449890155,0.069897
mean,73,9,,brute,47,0.397505334216768,0.070168
most_frequent,178,4,distance,brute,15,0.4219814969522572,0.138957
most_frequent,113,3,distance,brute,15,0.4702351568255458,0.138414
median,18,4,,brute,14,0.4141730394361973,0.101434
mean,73,9,,brute,47,0.397505334216768,0.081651
most_frequent,18,4,distance,brute,15,0.4682401376909386,0.126735
mean,113,4,distance,auto,16,0.45292064444111224,0.09125
most_frequent,18,4,distance,brute,15,0.4682401376909386,0.154829
mean,113,4,distance,brute,15,0.45292064444111224,0.084386
mean,238,7,,brute,47,0.393984962406015,0.07992
most_frequent,18,4,distance,brute,15,0.4682401376909386,0.117299
median,178,4,distance,kd_tree,24,0.4219814969522572,0.080934
mean,73,3,distance,brute,47,0.454677162823616,0.084463
mean,73,4,distance,brute,47,0.471524551810593,0.086191
median,18,4,distance,kd_tree,24,0.4682401376909386,0.084425
mean,113,7,distance,auto,16,0.4174634116154584,0.08402
median,18,4,distance,brute,15,0.4682401376909386,0.09851
median,113,3,distance,brute,47,0.47627380416854104,0.075003
median,238,7,,brute,14,0.393984962406015,0.094951
most_frequent,18,4,distance,brute,15,0.4682401376909386,0.110385
mean,18,4,distance,brute,47,0.4682401376909386,0.072584
median,18,7,,brute,14,0.39563105294099443,0.08401
most_frequent,113,3,distance,brute,15,0.4702351568255458,0.121435
mean,73,4,distance,brute,47,0.471524551810593,0.07194
most_frequent,18,3,distance,brute,15,0.47580650132137536,0.109415
mean,73,9,,brute,15,0.397505334216768,0.087679
median,18,4,distance,brute,14,0.4682401376909386,0.079939
mean,73,3,,brute,47,0.44396419793444963,0.077045
most_frequent,113,3,distance,brute,15,0.4702351568255458,0.129492
median,238,7,,brute,16,0.393984962406015,0.089904
mean,113,7,,brute,47,0.41452396423156657,0.072877
most_frequent,238,7,,brute,14,0.393984962406015,0.119109
mean,113,4,distance,brute,47,0.45292064444111224,0.067246
most_frequent,18,4,distance,brute,47,0.4682401376909386,0.112401
mean,113,3,distance,brute,16,0.4873849152796521,0.072439
mean,18,4,distance,auto,16,0.4682401376909386,0.066152
mean,113,3,distance,auto,16,0.4873849152796521,0.073491
mean,73,4,,brute,47,0.42118964076858817,0.080932
most_frequent,18,4,distance,brute,15,0.4682401376909386,0.143959
mean,73,4,distance,auto,16,0.471524551810593,0.079272
most_frequent,18,3,distance,brute,15,0.47580650132137536,0.113425
most_frequent,18,4,distance,brute,15,0.4682401376909386,0.121314
mean,238,3,distance,brute,47,0.41036437246963564,0.072716
mean,113,3,distance,brute,15,0.4873849152796521,0.075872
mean,113,3,distance,auto,47,0.4873849152796521,0.06598
mean,113,3,,brute,47,0.46380203595408276,0.075635
mean,113,4,distance,auto,16,0.45292064444111224,0.06054
mean,113,3,distance,brute,16,0.4873849152796521,0.061525
mean,113,4,distance,auto,16,0.45292064444111224,0.062266
median,113,3,distance,brute,14,0.47627380416854104,0.073933
mean,113,3,distance,auto,16,0.4873849152796521,0.077673
mean,73,3,distance,auto,16,0.454677162823616,0.082
mean,113,3,distance,auto,16,0.4873849152796521,0.062777
most_frequent,113,3,distance,brute,15,0.4702351568255458,0.102466
most_frequent,18,4,distance,brute,14,0.4682401376909386,0.116781
mean,113,3,distance,auto,16,0.4873849152796521,0.067509
most_frequent,73,4,distance,brute,15,0.4797854213758104,0.117828
mean,113,4,distance,auto,16,0.45292064444111224,0.066988
mean,113,4,distance,auto,16,0.45292064444111224,0.065974
mean,238,7,,brute,47,0.393984962406015,0.085413
most_frequent,18,4,distance,brute,15,0.4682401376909386,0.109469
mean,113,3,distance,brute,47,0.4873849152796521,0.082654
mean,238,7,,auto,47,0.393984962406015,0.068524
most_frequent,18,4,distance,brute,15,0.4682401376909386,0.126418
