strategy,k,penalty,c,solver,f1,elapsed_time
most_frequent,158,l2,11,lbfgs,0.5284438368648894,0.277555
median,98,l2,13,saga,0.6029061784897025,0.37273
mean,158,l2,3,newton-cg,0.5245958330168856,0.331067
most_frequent,108,l2,6,lbfgs,0.5415468843386464,0.274619
median,58,l2,13,lbfgs,0.5537652651611461,0.202666
median,273,,18,lbfgs,0.5093265993265993,0.137509
median,148,l2,7,newton-cholesky,0.5581982734614314,0.69282
mean,143,,9,sag,0.5961598440545809,0.42122
mean,238,l2,16,newton-cholesky,0.528375208993058,1.604283
mean,148,,14,newton-cholesky,0.5308007392217918,0.485621
median,158,l2,3,saga,0.5623753829016989,0.57886
median,148,,14,newton-cholesky,0.5308007392217918,0.492915
median,273,l2,7,newton-cholesky,0.528375208993058,2.104045
mean,158,l2,14,newton-cholesky,0.5533778891673629,0.696492
most_frequent,158,l2,11,newton-cg,0.5284438368648894,0.360678
mean,158,l2,3,newton-cholesky,0.5589919242550822,0.650308
mean,143,,9,lbfgs,0.570079667768455,0.102103
mean,98,,14,newton-cholesky,0.5546824619585469,0.298556
median,148,l2,7,lbfgs,0.5228882813093338,0.244987
mean,238,l2,16,newton-cholesky,0.528375208993058,1.751152
median,58,l2,6,lbfgs,0.5577178343311067,0.190209
median,148,l2,11,lbfgs,0.5267362851573377,0.266177
most_frequent,108,l2,3,newton-cg,0.5415468843386464,0.327463
mean,158,l2,13,lbfgs,0.5284438368648894,0.245914
median,143,,9,sag,0.5974074074074075,0.433829
median,58,l2,13,sag,0.5985018651151375,0.221087
median,58,l2,13,saga,0.60105116766444,0.253675
mean,238,l2,6,newton-cholesky,0.528375208993058,1.552297
mean,238,l2,16,newton-cholesky,0.528375208993058,1.638348
mean,143,l2,13,sag,0.5961598440545809,0.417562
median,58,l2,13,lbfgs,0.5537652651611461,0.197525
median,148,,7,newton-cholesky,0.5308007392217918,0.473777
mean,98,l2,3,newton-cg,0.5487593599721746,0.265866
mean,273,,14,newton-cholesky,0.4837656232083477,0.596442
mean,238,l2,3,newton-cg,0.553286791181528,0.327524
mean,148,l2,14,newton-cholesky,0.5245530492898914,0.706769
most_frequent,158,l2,18,lbfgs,0.5228298017771701,0.284219
median,148,,7,newton-cholesky,0.5308007392217918,0.537981
median,98,l2,3,newton-cg,0.5487593599721746,0.285941
mean,158,,14,newton-cg,0.544226145072827,0.174066
median,108,l2,13,lbfgs,0.5453948881866502,0.222195
mean,238,l2,3,newton-cg,0.553286791181528,0.321922
mean,143,,9,sag,0.5961598440545809,0.414983
median,98,l2,3,saga,0.6029061784897025,0.430059
median,143,l2,11,newton-cg,0.5483902062849431,0.318127
mean,148,,14,newton-cg,0.5489880498347318,0.176532
median,143,,9,newton-cholesky,0.5363176056082234,0.494268
mean,238,l2,3,newton-cg,0.553286791181528,0.317424
most_frequent,238,l2,3,newton-cg,0.538366156260893,0.382817
mean,143,,14,lbfgs,0.570079667768455,0.102463
median,98,l2,13,saga,0.6029061784897025,0.377731
most_frequent,148,,14,newton-cholesky,0.5308007392217918,0.528547
most_frequent,158,,14,newton-cg,0.5438362815250686,0.211108
median,98,l2,13,newton-cholesky,0.5709309505648179,0.414903
median,143,l2,13,saga,0.589805068226121,0.533312
median,143,,13,sag,0.5974074074074075,0.437599
most_frequent,158,l2,13,saga,0.5721236666545593,0.640639
most_frequent,238,l2,3,newton-cg,0.538366156260893,0.386356
most_frequent,158,l2,13,newton-cg,0.5284438368648894,0.367025
mean,238,l2,13,sag,0.5044444444444445,0.660129
mean,143,,9,lbfgs,0.570079667768455,0.109694
most_frequent,158,l2,13,saga,0.5721236666545593,0.620439
median,143,,9,sag,0.5974074074074075,0.419304
most_frequent,158,l2,9,sag,0.5649111910210307,0.509593
mean,143,,9,sag,0.5961598440545809,0.414812
mean,238,l2,3,saga,0.5189212160836874,0.808498
median,143,,9,lbfgs,0.5700991609458429,0.108654
median,98,,14,saga,0.6029061784897025,0.391395
mean,143,l2,9,sag,0.5961598440545809,0.429282
most_frequent,158,l2,11,sag,0.5649111910210307,0.500601
mean,98,l2,3,newton-cholesky,0.5600352330100614,0.398101
mean,143,,9,sag,0.5961598440545809,0.407998
median,98,l2,11,saga,0.6029061784897025,0.376253
mean,143,,14,lbfgs,0.570079667768455,0.109725
mean,143,l2,13,lbfgs,0.5483902062849431,0.235633
median,158,l2,13,saga,0.5721236666545593,0.567141
mean,143,,13,sag,0.5961598440545809,0.417076
mean,143,,14,newton-cholesky,0.5229842722748901,0.472908
mean,158,l2,3,newton-cholesky,0.5589919242550822,0.655103
median,143,,13,saga,0.589805068226121,0.580297
most_frequent,158,l2,13,sag,0.5649111910210307,0.49229
median,98,,9,saga,0.6029061784897025,0.417537
median,143,,9,lbfgs,0.5700991609458429,0.117114
median,143,,9,sag,0.5974074074074075,0.463514
median,143,,9,sag,0.5974074074074075,0.420662
mean,143,,9,sag,0.5961598440545809,0.413118
median,143,,13,sag,0.5974074074074075,0.428545
mean,98,,14,sag,0.586140350877193,0.314457
mean,143,l2,13,saga,0.578081314397104,0.513715
mean,143,,9,sag,0.5961598440545809,0.416677
median,98,l2,9,saga,0.6029061784897025,0.36837
mean,143,,13,sag,0.5961598440545809,0.416864
median,143,,9,sag,0.5974074074074075,0.443082
median,143,,13,sag,0.5974074074074075,0.440719
most_frequent,158,,9,sag,0.5573088518397443,0.509416
median,143,,9,sag,0.5974074074074075,0.425901
median,98,,9,sag,0.5924561403508772,0.340436
mean,143,,9,saga,0.578081314397104,0.534446
median,143,,9,sag,0.5974074074074075,0.427923
median,143,,9,sag,0.5974074074074075,0.41712
mean,143,,9,sag,0.5961598440545809,0.409941
median,158,,9,lbfgs,0.5431150339617158,0.114438
mean,143,,9,saga,0.578081314397104,0.530455
mean,143,,13,sag,0.5961598440545809,0.413095
median,98,,9,saga,0.6029061784897025,0.377861
mean,158,,9,sag,0.5763341929703487,0.458366
median,143,,9,lbfgs,0.5700991609458429,0.11081
median,143,,13,sag,0.5974074074074075,0.423994
mean,143,,9,sag,0.5961598440545809,0.42352
mean,143,,9,sag,0.5961598440545809,0.414502
median,143,,9,lbfgs,0.5700991609458429,0.110667
median,143,,13,sag,0.5974074074074075,0.416547
mean,143,,9,sag,0.5961598440545809,0.41872
mean,143,,13,sag,0.5961598440545809,0.432599
median,98,,13,saga,0.6029061784897025,0.386342
most_frequent,143,,9,sag,0.5974074074074075,0.445986
median,143,,13,sag,0.5974074074074075,0.418131
