strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
most_frequent,213,26,1,16,10,0.37735718606861984,0.263545
most_frequent,223,76,13,6,17,0.37735718606861984,0.648487
most_frequent,228,1,13,14,2,0.3899635899016704,0.119803
median,228,91,11,15,11,0.37735718606861984,0.790075
mean,168,31,8,14,18,0.37735718606861984,0.268041
median,23,71,19,3,9,0.37735718606861984,0.503533
most_frequent,43,56,11,6,19,0.37735718606861984,0.425001
mean,243,31,18,4,9,0.37735718606861984,0.297975
most_frequent,153,76,16,19,15,0.37735718606861984,0.633819
mean,128,56,16,2,4,0.4126410518223384,0.583323
most_frequent,213,31,1,16,10,0.37735718606861984,0.277528
most_frequent,153,76,16,19,15,0.37735718606861984,0.621182
most_frequent,213,76,1,16,10,0.37735718606861984,0.543575
most_frequent,213,76,16,19,15,0.37735718606861984,0.626087
mean,168,31,18,4,9,0.37735718606861984,0.293677
median,23,31,19,3,9,0.37735718606861984,0.252067
most_frequent,43,56,13,6,19,0.37735718606861984,0.435752
most_frequent,243,31,18,4,10,0.37735718606861984,0.328626
mean,168,71,19,3,18,0.37735718606861984,0.531747
mean,223,31,8,14,18,0.37735718606861984,0.261872
mean,243,71,19,4,9,0.37735718606861984,0.618886
mean,168,76,13,6,18,0.37735718606861984,0.563567
median,228,91,11,14,11,0.37735718606861984,0.753819
most_frequent,153,76,11,15,11,0.37735718606861984,0.682658
most_frequent,213,26,19,16,10,0.37735718606861984,0.2968
mean,128,71,19,3,4,0.4126410518223384,0.696768
mean,243,1,18,4,9,0.3936409256760134,0.061518
most_frequent,153,76,16,2,4,0.4154257914491833,0.806237
mean,128,56,16,2,4,0.4126410518223384,0.558931
most_frequent,213,26,13,6,17,0.37735718606861984,0.266874
most_frequent,43,56,11,6,19,0.37735718606861984,0.46763
mean,243,31,16,19,15,0.37735718606861984,0.269437
most_frequent,223,76,16,6,17,0.37735718606861984,0.606588
most_frequent,228,1,13,6,19,0.37735718606861984,0.094028
most_frequent,223,76,13,6,18,0.37735718606861984,0.59761
most_frequent,228,71,19,3,9,0.37735718606861984,0.653856
most_frequent,213,26,13,16,10,0.37735718606861984,0.28916
median,223,76,13,6,11,0.37735718606861984,0.625243
most_frequent,153,76,13,14,2,0.43617539575434316,0.822094
most_frequent,243,31,16,19,15,0.37735718606861984,0.305073
median,23,71,19,3,10,0.37735718606861984,0.502474
median,213,91,11,15,11,0.37735718606861984,0.759368
most_frequent,23,71,19,3,9,0.37735718606861984,0.528041
most_frequent,153,76,19,2,4,0.4154257914491833,0.800636
most_frequent,243,71,19,19,15,0.37735718606861984,0.583373
most_frequent,223,76,13,14,2,0.4130968065938826,0.813497
mean,153,76,16,2,4,0.4154257914491833,0.787139
most_frequent,223,71,19,3,18,0.37735718606861984,0.585795
most_frequent,213,76,13,16,10,0.37735718606861984,0.675728
mean,128,76,19,3,4,0.4154257914491833,0.742695
median,128,71,19,3,9,0.37735718606861984,0.623011
median,23,71,19,3,18,0.37735718606861984,0.486701
mean,153,71,19,3,4,0.4154257914491833,0.734007
most_frequent,213,76,1,16,10,0.37735718606861984,0.58238
median,23,31,19,3,9,0.37735718606861984,0.256043
median,23,71,19,3,9,0.37735718606861984,0.508549
mean,243,1,16,19,9,0.3936409256760134,0.061305
most_frequent,223,76,13,14,2,0.4130968065938826,0.812394
median,153,76,16,2,4,0.4154257914491833,0.769215
most_frequent,153,76,13,14,2,0.43617539575434316,0.820791
most_frequent,223,76,19,3,4,0.39767152925047655,0.795328
mean,128,71,19,3,9,0.37735718606861984,0.616448
most_frequent,153,76,16,2,4,0.4154257914491833,0.79358
most_frequent,153,76,16,19,15,0.37735718606861984,0.620624
most_frequent,153,76,19,14,2,0.43617539575434316,0.85145
most_frequent,153,76,1,16,10,0.37735718606861984,0.551248
most_frequent,153,76,13,14,15,0.37735718606861984,0.62325
most_frequent,128,76,1,16,10,0.37735718606861984,0.546022
most_frequent,128,71,19,19,15,0.37735718606861984,0.582915
most_frequent,213,76,16,19,15,0.37735718606861984,0.619774
median,23,1,19,3,9,0.3719669727678881,0.065139
mean,243,1,18,3,4,0.3806516290726817,0.0625
mean,243,76,1,16,10,0.37735718606861984,0.515606
most_frequent,213,76,1,16,4,0.37735718606861984,0.554302
most_frequent,223,1,13,6,18,0.37735718606861984,0.094012
most_frequent,243,31,1,19,15,0.37735718606861984,0.275912
mean,128,71,19,3,10,0.37735718606861984,0.589152
median,23,76,19,3,9,0.37735718606861984,0.534678
most_frequent,23,31,19,3,9,0.37735718606861984,0.281186
mean,243,1,18,4,10,0.38362469259252135,0.061625
