strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
median,243,31,19,3,9,0.37735718606861984,0.304052
most_frequent,223,76,16,19,4,0.3976560203928625,0.757391
most_frequent,128,71,19,19,15,0.37735718606861984,0.585666
most_frequent,223,76,19,3,4,0.39767152925047655,0.812109
mean,128,76,19,3,4,0.4154257914491833,0.749549
mean,153,76,19,3,4,0.4154257914491833,0.763803
most_frequent,153,76,13,14,4,0.4004407600197074,0.76986
mean,153,76,19,3,4,0.4154257914491833,0.760836
mean,128,71,19,3,4,0.4126410518223384,0.691173
mean,128,76,19,3,4,0.4154257914491833,0.738321
mean,153,76,16,19,15,0.37735718606861984,0.585018
most_frequent,243,1,18,4,10,0.38362469259252135,0.094171
most_frequent,153,1,18,4,4,0.3804827883363352,0.09562
most_frequent,223,76,19,3,4,0.39767152925047655,0.795527
most_frequent,223,1,18,4,4,0.42573620971790316,0.10004
mean,153,71,19,14,4,0.4154257914491833,0.723071
most_frequent,243,1,18,14,2,0.4062626262626262,0.096705
mean,128,76,19,3,4,0.4154257914491833,0.737498
mean,153,71,19,19,15,0.37735718606861984,0.551617
mean,128,76,19,3,4,0.4154257914491833,0.736156
most_frequent,128,76,19,3,15,0.37735718606861984,0.611569
mean,128,71,19,3,9,0.37735718606861984,0.609604
most_frequent,223,71,19,3,4,0.3948225264014738,0.791616
mean,243,1,19,4,10,0.38362469259252135,0.062916
most_frequent,128,76,16,19,15,0.37735718606861984,0.62637
most_frequent,128,71,19,3,15,0.37735718606861984,0.58807
mean,153,76,16,4,10,0.37735718606861984,0.63595
mean,153,71,18,3,4,0.4154257914491833,0.718308
most_frequent,153,76,13,14,15,0.37735718606861984,0.622694
most_frequent,223,71,19,3,4,0.3948225264014738,0.748931
mean,128,76,19,3,9,0.37735718606861984,0.650451
most_frequent,243,1,18,4,10,0.38362469259252135,0.098445
mean,153,71,18,4,10,0.37735718606861984,0.614984
most_frequent,153,76,16,2,4,0.4154257914491833,0.800954
most_frequent,153,71,19,14,2,0.4213605809395283,0.78756
mean,153,71,16,2,4,0.4154257914491833,0.749704
mean,128,76,16,2,4,0.4154257914491833,0.735329
