strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
mean,228,6,11,3,9,0.4245276058141555,0.139316
mean,38,1,19,11,16,0.3791478696741854,0.081982
median,108,6,7,11,6,0.38536491907635284,0.127855
mean,3,81,4,5,16,0.37735718606861984,0.574678
mean,228,16,12,17,12,0.37735718606861984,0.187834
mean,58,61,13,10,7,0.41004836320424143,0.523519
mean,193,31,13,14,6,0.38007197480881694,0.337351
median,153,21,19,4,18,0.37735718606861984,0.223954
median,238,11,2,18,4,0.37206618077761455,0.150364
mean,18,36,8,2,4,0.43482467802935637,0.312176
mean,228,6,7,11,9,0.4245276058141555,0.112187
mean,3,16,12,17,16,0.37735718606861984,0.16823
median,38,1,19,4,18,0.37735718606861984,0.078184
mean,193,31,13,14,16,0.37735718606861984,0.321274
mean,3,81,4,2,4,0.37735718606861984,0.652732
mean,3,81,4,11,16,0.37735718606861984,0.625279
mean,58,31,13,10,7,0.42667613954163663,0.314294
mean,238,11,2,18,12,0.37735718606861984,0.13982
mean,18,36,8,14,6,0.37735718606861984,0.306538
mean,228,16,19,17,12,0.37735718606861984,0.191635
mean,193,31,13,11,16,0.37735718606861984,0.296154
mean,108,6,7,11,16,0.37735718606861984,0.1096
median,108,6,7,2,4,0.40015836693182233,0.120958
mean,3,81,12,17,12,0.37735718606861984,0.5744
median,108,31,7,11,6,0.41004836320424143,0.318082
mean,108,6,7,11,16,0.37735718606861984,0.106835
mean,193,31,13,10,7,0.37206618077761455,0.325839
mean,58,61,13,10,9,0.37206618077761455,0.515941
median,193,31,13,14,6,0.38007197480881694,0.333153
mean,18,11,8,2,4,0.4777660427546011,0.139448
mean,3,81,4,5,7,0.37735718606861984,0.620849
mean,18,36,11,3,4,0.43482467802935637,0.338423
mean,228,16,7,11,6,0.38944509815653194,0.319409
mean,18,36,8,11,4,0.4023749425796209,0.468902
mean,3,11,4,5,16,0.37735718606861984,0.177784
mean,38,1,19,2,4,0.4608835659636575,0.103898
mean,18,1,8,2,4,0.36633952029833033,0.094217
mean,228,16,12,10,7,0.38944509815653194,0.293145
median,238,11,8,2,4,0.4001478054109633,0.276779
mean,108,6,7,11,7,0.3882226554039419,0.173413
median,228,16,12,11,6,0.38944509815653194,0.333934
median,108,6,7,11,6,0.38536491907635284,0.173257
mean,108,31,7,10,7,0.38029663345251163,0.385675
mean,108,31,11,3,9,0.38029663345251163,0.303306
median,18,36,7,11,6,0.37735718606861984,0.315645
mean,228,6,8,11,9,0.4245276058141555,0.114328
median,108,6,11,3,6,0.38536491907635284,0.12366
median,108,1,7,11,6,0.4372796014901278,0.079744
mean,108,31,7,11,4,0.39767152925047655,0.320859
median,108,36,7,11,6,0.41004836320424143,0.361373
mean,18,1,19,2,4,0.36633952029833033,0.071663
mean,228,16,12,17,12,0.37735718606861984,0.193137
mean,228,16,12,11,9,0.37206618077761455,0.196867
mean,228,36,8,2,4,0.4232140179508601,0.395729
median,108,6,7,11,9,0.3803389614948397,0.119414
mean,228,36,8,3,9,0.37206618077761455,0.361036
mean,18,1,19,2,4,0.36633952029833033,0.071316
mean,228,1,19,17,12,0.3804372041214147,0.072293
mean,18,36,8,11,9,0.37735718606861984,0.362412
mean,228,6,8,2,4,0.39433973823447516,0.124512
median,228,6,7,11,6,0.4059065231930729,0.125814
mean,228,6,7,11,9,0.4245276058141555,0.11366
mean,228,6,7,11,9,0.4245276058141555,0.113119
mean,228,16,12,17,7,0.38944509815653194,0.202624
mean,228,6,11,3,9,0.4245276058141555,0.113411
mean,228,6,7,11,9,0.4245276058141555,0.111623
mean,228,6,7,11,9,0.4245276058141555,0.125198
mean,228,16,12,2,7,0.38944509815653194,0.205358
mean,228,6,7,11,12,0.37735718606861984,0.113898
mean,228,16,19,17,12,0.37735718606861984,0.191301
mean,228,16,19,17,9,0.37206618077761455,0.196147
mean,38,1,19,2,9,0.38290565693311696,0.076545
mean,228,16,8,11,12,0.37735718606861984,0.188821
mean,228,6,11,3,9,0.4245276058141555,0.122533
mean,18,36,11,2,4,0.43482467802935637,0.322053
mean,38,1,19,3,9,0.38290565693311696,0.071024
mean,228,1,19,2,4,0.3762288247939075,0.0745
mean,228,6,7,11,9,0.4245276058141555,0.113241
mean,228,6,7,11,9,0.4245276058141555,0.112361
mean,228,6,11,3,9,0.4245276058141555,0.116936
mean,228,6,7,11,4,0.40423777392198446,0.116792
mean,38,6,11,3,4,0.4593992320079277,0.115903
mean,228,6,7,11,9,0.4245276058141555,0.128595
mean,228,6,11,11,9,0.4245276058141555,0.115558
mean,228,6,11,3,9,0.4245276058141555,0.119419
mean,18,36,8,2,4,0.43482467802935637,0.355202
mean,228,6,7,11,9,0.4245276058141555,0.127892
mean,228,6,7,11,9,0.4245276058141555,0.138522
mean,228,6,7,11,9,0.4245276058141555,0.142006
mean,38,1,19,2,9,0.38290565693311696,0.094133
mean,228,6,7,11,9,0.4245276058141555,0.144211
mean,228,6,11,3,9,0.4245276058141555,0.137987
mean,38,1,7,11,4,0.43224893591026314,0.089845
mean,228,6,7,11,9,0.4245276058141555,0.136781
mean,228,6,11,2,4,0.39433973823447516,0.145956
mean,228,6,11,3,9,0.4245276058141555,0.135739
mean,38,1,19,2,4,0.4608835659636575,0.083406
mean,228,6,7,11,9,0.4245276058141555,0.122447
mean,18,6,7,2,4,0.4463059444345994,0.118964
mean,18,36,19,2,4,0.43482467802935637,0.321915
mean,228,1,19,3,9,0.39959512307338396,0.075403
