strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
most_frequent,78,61,4,17,5,0.39298600169743547,0.521026
median,28,86,16,14,14,0.3773571860686198,0.597529
mean,228,6,17,9,15,0.38029663345251163,0.133976
mean,168,71,1,10,19,0.3773571860686198,0.504492
mean,53,66,9,17,3,0.4842514113566746,0.544657
mean,93,96,6,3,19,0.3773571860686198,0.676135
mean,273,81,1,9,17,0.3773571860686198,0.580527
median,228,1,19,10,14,0.3311862635933495,0.074693
mean,113,81,17,15,13,0.3773571860686198,0.648292
most_frequent,63,81,19,3,2,0.536112413732551,0.774237
mean,228,71,1,10,19,0.3773571860686198,0.512418
mean,113,81,1,10,19,0.3773571860686198,0.571597
mean,228,61,17,9,15,0.3773571860686198,0.491793
mean,53,66,9,10,14,0.3773571860686198,0.510125
mean,168,71,1,10,14,0.3773571860686198,0.524972
mean,93,96,6,17,3,0.44058813700918964,0.83588
mean,228,6,17,10,14,0.3773571860686198,0.098303
mean,53,71,1,10,19,0.3773571860686198,0.500032
mean,93,96,19,10,14,0.3773571860686198,0.732195
mean,228,1,19,10,15,0.3311862635933495,0.061017
mean,93,71,1,10,19,0.3773571860686198,0.485377
median,273,81,1,9,14,0.3773571860686198,0.561305
median,228,1,19,3,2,0.38396050286143163,0.073006
mean,273,66,1,9,17,0.3773571860686198,0.472553
mean,228,6,17,10,19,0.3773571860686198,0.098288
most_frequent,63,81,19,3,5,0.4112196199310537,0.717419
most_frequent,63,96,6,3,2,0.551318982079216,0.830328
mean,113,86,17,15,13,0.3773571860686198,0.697808
most_frequent,113,81,17,15,2,0.47940134151804636,0.863389
mean,113,61,4,15,13,0.3773571860686198,0.48384
mean,53,66,9,17,2,0.5209276104012946,0.634231
median,113,81,19,10,14,0.3773571860686198,0.641721
mean,93,96,6,9,15,0.3773571860686198,0.700849
mean,53,66,9,17,5,0.4133820307891168,0.529146
mean,168,71,1,17,3,0.3773571860686198,0.542464
mean,168,66,9,10,19,0.3773571860686198,0.507513
mean,273,81,4,17,17,0.3773571860686198,0.614219
median,78,61,4,17,14,0.3773571860686198,0.515863
mean,53,66,9,10,3,0.4842514113566746,0.558268
mean,53,81,17,17,3,0.47444912787018056,0.681062
most_frequent,78,86,4,17,5,0.39298600169743547,0.698029
mean,273,81,9,17,3,0.4261825828940167,0.759871
median,28,86,16,3,14,0.3773571860686198,0.649735
most_frequent,273,81,1,3,2,0.3773571860686198,0.628409
mean,228,61,17,9,15,0.3773571860686198,0.518898
mean,273,81,17,17,3,0.4261825828940167,0.829303
mean,53,66,17,17,3,0.4842514113566746,0.564278
mean,228,6,9,17,3,0.47113908400458104,0.113929
mean,53,66,9,17,3,0.4842514113566746,0.548867
mean,228,66,9,17,3,0.4397334361544888,0.657632
most_frequent,78,61,1,17,5,0.3773571860686198,0.488004
mean,273,66,17,17,3,0.4261825828940167,0.692986
median,273,81,9,9,14,0.3773571860686198,0.644111
mean,228,66,9,9,15,0.3773571860686198,0.540206
mean,53,81,17,17,17,0.3773571860686198,0.603673
most_frequent,273,61,4,17,5,0.38093155408743234,0.632951
mean,228,66,1,9,15,0.3773571860686198,0.53321
mean,53,81,17,9,15,0.3773571860686198,0.634919
mean,228,6,17,9,15,0.38029663345251163,0.098956
median,273,6,17,9,15,0.3773571860686198,0.118934
mean,53,81,17,17,3,0.47444912787018056,0.675424
mean,228,66,9,9,15,0.3773571860686198,0.575108
mean,228,66,17,9,15,0.3773571860686198,0.551866
median,273,61,4,17,5,0.38093155408743234,0.535537
