strategy,k,n_estimators,learning_rate,f1,elapsed_time
most_frequent,188,76,47,0.16764611377614475,1.730835
mean,198,96,14,0.004444444444444444,2.196143
mean,18,71,31,0.13978823320928582,0.711976
mean,53,61,95,0.11349501700378892,0.354872
most_frequent,148,96,21,0.0911985846970367,1.895108
most_frequent,233,36,26,0.09209562367457105,0.91599
most_frequent,58,11,1,0.4299256192009815,0.223998
mean,213,96,18,0.0012345679012345679,2.176968
mean,208,41,16,0.02222222222222222,0.976437
most_frequent,223,16,98,0.28000791831836835,0.269387
most_frequent,198,11,1,0.4033981895156571,0.33064
most_frequent,223,96,21,0.0911985846970367,2.209173
mean,148,96,18,0.0925874735859256,1.904455
most_frequent,223,36,98,0.29784515354690794,0.474927
most_frequent,188,76,21,0.10100250626566416,1.718519
most_frequent,58,76,47,0.08989139515455305,0.985488
most_frequent,188,76,14,0.016884635832004252,1.716966
most_frequent,53,11,1,0.4441721329211795,0.215895
mean,18,16,98,0.12158137509014702,0.126157
mean,213,41,16,0.01111111111111111,0.958909
most_frequent,18,71,47,0.0040161678706570345,0.715442
mean,198,36,14,0.015555555555555555,0.910663
mean,148,96,31,0.10799346851978431,1.875167
most_frequent,148,41,16,0.021108326371484264,0.834854
mean,53,61,1,0.4441721329211795,0.738641
mean,148,96,21,0.0911985846970367,1.888769
mean,148,96,31,0.10799346851978431,1.887956
most_frequent,188,11,47,0.09209562367457105,0.339523
most_frequent,233,16,98,0.2794523627628128,0.272937
most_frequent,53,61,95,0.11349501700378892,0.391114
most_frequent,223,16,18,0.023141186299081035,0.429914
mean,208,41,1,0.43178059852964507,0.925302
most_frequent,233,16,26,0.10100250626566416,0.427912
mean,213,61,95,0.21827725231234005,0.493297
most_frequent,188,76,47,0.16764611377614475,1.697665
most_frequent,233,96,14,0.01497076023391813,2.274841
most_frequent,213,96,18,0.0012345679012345679,2.316817
most_frequent,223,16,31,0.15063416116047695,0.457611
most_frequent,148,96,21,0.0911985846970367,1.952424
mean,208,41,31,0.041897335932423646,0.968145
mean,223,16,98,0.28000791831836835,0.231038
mean,18,11,1,0.43435057046803804,0.149424
most_frequent,233,36,14,0.027995746943115362,0.938712
most_frequent,58,61,95,0.12571166974675746,0.432794
mean,58,11,31,0.12043835077890805,0.185843
most_frequent,223,16,47,0.13777463602025006,0.481978
most_frequent,223,11,47,0.08320673478568216,0.364292
