strategy,k,kernel,c,degree,f1,elapsed_time
median,133,poly,8,4,0.41890457387533414,0.084807
mean,38,linear,12,17,0.4367166709043139,0.101585
median,98,rbf,17,5,0.4738002335828423,0.089253
most_frequent,43,poly,16,15,0.42100336310862624,0.099309
median,78,linear,12,3,0.5427307398932113,0.087897
median,3,sigmoid,13,3,0.38826498344627003,0.07717
median,18,poly,8,8,0.4273616139113215,0.072037
most_frequent,48,rbf,12,7,0.4469522514945856,0.104592
median,103,linear,13,5,0.5544029155013137,0.075177
most_frequent,93,poly,14,3,0.4749248334511493,0.107631
median,98,rbf,16,15,0.4738002335828423,0.091165
most_frequent,93,poly,8,3,0.4749248334511493,0.110172
mean,38,linear,12,3,0.4367166709043139,0.10147
most_frequent,43,linear,12,15,0.5160764522930809,0.113228
median,78,sigmoid,13,3,0.5030231375540299,0.091343
most_frequent,43,poly,16,3,0.4420161514898357,0.104231
median,3,linear,12,17,0.37500562816150634,0.06442
median,78,linear,8,8,0.5427307398932113,0.078067
median,98,rbf,12,7,0.4738002335828423,0.080441
median,3,sigmoid,13,8,0.38826498344627003,0.065536
median,3,sigmoid,8,8,0.38826498344627003,0.067666
median,133,poly,14,3,0.4393604143311746,0.095682
most_frequent,78,linear,16,15,0.5456937028561744,0.104036
most_frequent,43,linear,13,5,0.5160764522930809,0.13427
median,98,linear,12,5,0.5544943165995798,0.082718
median,3,sigmoid,13,5,0.38826498344627003,0.074219
median,133,linear,13,5,0.5245641882483988,0.078907
median,98,rbf,17,4,0.4738002335828423,0.080029
median,98,linear,17,5,0.5544943165995798,0.094831
median,103,linear,13,8,0.5544029155013137,0.085099
most_frequent,43,poly,14,15,0.42100336310862624,0.09888
most_frequent,43,poly,16,15,0.42100336310862624,0.098744
median,98,rbf,17,8,0.4738002335828423,0.080426
most_frequent,43,poly,16,3,0.4420161514898357,0.100365
most_frequent,48,rbf,17,5,0.4469522514945856,0.10054
median,18,poly,14,3,0.4571938392991024,0.075545
median,133,poly,8,5,0.4391008385160432,0.09843
median,103,linear,8,8,0.5544029155013137,0.083478
median,103,linear,17,5,0.5544029155013137,0.075557
median,103,linear,12,7,0.5544029155013137,0.07465
median,78,rbf,17,3,0.48485562299571966,0.081351
median,103,linear,8,8,0.5544029155013137,0.07818
median,78,sigmoid,13,3,0.5030231375540299,0.071613
median,103,linear,12,7,0.5544029155013137,0.076076
median,98,rbf,17,7,0.4738002335828423,0.079631
median,78,linear,13,3,0.5427307398932113,0.077433
most_frequent,78,sigmoid,13,15,0.506243749470294,0.099061
median,103,linear,13,5,0.5544029155013137,0.077493
median,78,sigmoid,13,7,0.5030231375540299,0.081433
median,78,linear,8,8,0.5427307398932113,0.078013
median,103,linear,12,3,0.5544029155013137,0.07993
median,103,linear,12,8,0.5544029155013137,0.079839
median,98,rbf,17,8,0.4738002335828423,0.07794
median,78,linear,12,7,0.5427307398932113,0.080201
median,103,linear,13,3,0.5544029155013137,0.074585
most_frequent,78,sigmoid,13,3,0.506243749470294,0.099158
median,103,linear,13,3,0.5544029155013137,0.073388
median,78,sigmoid,12,3,0.47983473175692853,0.07304
median,78,rbf,17,8,0.48485562299571966,0.088376
median,103,linear,8,8,0.5544029155013137,0.084825
median,103,rbf,17,8,0.48808588182730056,0.081007
median,78,linear,12,7,0.5427307398932113,0.077552
median,103,linear,8,8,0.5544029155013137,0.075938
median,103,linear,12,7,0.5544029155013137,0.08478
median,78,linear,16,15,0.5427307398932113,0.07654
median,48,linear,13,5,0.4880869770114621,0.100371
most_frequent,103,linear,12,7,0.5544029155013137,0.102639
median,103,linear,16,7,0.5544029155013137,0.076485
most_frequent,103,linear,13,5,0.5544029155013137,0.106369
median,103,sigmoid,13,3,0.5003732981993851,0.073562
most_frequent,78,linear,16,8,0.5456937028561744,0.105036
most_frequent,78,rbf,16,15,0.48485562299571966,0.105672
median,78,linear,16,15,0.5427307398932113,0.077291
median,103,linear,13,5,0.5544029155013137,0.08414
median,103,linear,8,7,0.5544029155013137,0.085962
median,103,linear,17,7,0.5544029155013137,0.076397
median,103,sigmoid,13,3,0.5003732981993851,0.074545
median,78,linear,13,3,0.5427307398932113,0.077914
median,103,linear,8,3,0.5544029155013137,0.084962
median,78,sigmoid,13,7,0.5030231375540299,0.072562
median,103,linear,13,8,0.5544029155013137,0.075301
median,103,linear,12,7,0.5544029155013137,0.074223
median,103,linear,8,8,0.5544029155013137,0.081906
median,103,linear,8,7,0.5544029155013137,0.084185
median,103,linear,12,7,0.5544029155013137,0.085994
median,103,linear,12,7,0.5544029155013137,0.083921
median,103,linear,8,7,0.5544029155013137,0.077409
median,78,linear,8,7,0.5427307398932113,0.07861
median,78,linear,13,7,0.5427307398932113,0.076839
median,103,linear,12,7,0.5544029155013137,0.077107
median,78,linear,8,8,0.5427307398932113,0.078679
median,78,linear,12,7,0.5427307398932113,0.077361
median,103,linear,12,3,0.5544029155013137,0.074488
median,103,linear,13,3,0.5544029155013137,0.09371
median,103,linear,12,7,0.5544029155013137,0.075734
median,103,linear,13,7,0.5544029155013137,0.076666
median,78,linear,13,3,0.5427307398932113,0.084396
median,103,linear,13,3,0.5544029155013137,0.076207
median,103,linear,12,7,0.5544029155013137,0.0818
median,103,linear,12,7,0.5544029155013137,0.075535
median,103,linear,12,7,0.5544029155013137,0.075865
median,78,linear,13,3,0.5427307398932113,0.077464
median,78,linear,12,7,0.5427307398932113,0.077274
median,103,linear,13,8,0.5544029155013137,0.08475
median,103,linear,13,5,0.5544029155013137,0.074548
median,78,linear,12,3,0.5427307398932113,0.076492
median,78,linear,13,3,0.5427307398932113,0.077969
median,78,linear,12,7,0.5427307398932113,0.076454
median,78,linear,12,3,0.5427307398932113,0.080536
median,78,linear,13,3,0.5427307398932113,0.083567
median,78,linear,12,7,0.5427307398932113,0.083482
median,78,linear,12,3,0.5427307398932113,0.076956
