strategy,k,penalty,c,solver,f1,elapsed_time
median,98,l2,2,newton-cg,0.5142469700822103,0.291302
median,18,,11,lbfgs,0.4846114412015291,0.138487
mean,3,,2,newton-cg,0.4004871096429879,0.218637
mean,208,l2,1,lbfgs,0.5404720739045682,0.266163
mean,178,l2,18,newton-cg,0.5270489024493601,0.337803
median,3,l2,17,newton-cholesky,0.39805089565121826,0.162703
median,178,,2,newton-cholesky,0.6162401100791194,0.41517
most_frequent,38,,11,newton-cg,0.5071818031390877,1.707059
most_frequent,148,,12,lbfgs,0.54275927338475,0.140987
median,253,l2,6,sag,0.5528677903910103,0.711039
mean,178,,2,newton-cg,0.5135477582846004,0.178761
mean,178,,2,newton-cg,0.5135477582846004,0.17535
mean,3,l2,6,sag,0.40064358426931523,0.085035
median,98,,2,newton-cg,0.5327745289148798,0.197844
mean,208,l2,1,newton-cg,0.5404720739045682,0.336976
most_frequent,148,l2,12,lbfgs,0.542010582010582,0.263021
most_frequent,38,,2,newton-cg,0.5071818031390877,1.684495
median,3,l2,2,newton-cg,0.39805089565121826,0.104442
mean,3,,2,lbfgs,0.4004871096429879,0.096249
mean,178,l2,2,newton-cg,0.5270489024493601,0.325324
median,178,,11,lbfgs,0.5284848832320452,0.112148
median,3,l2,6,newton-cholesky,0.39805089565121826,0.156851
most_frequent,18,,11,lbfgs,0.4846114412015291,0.161163
mean,208,l2,1,lbfgs,0.5404720739045682,0.268053
most_frequent,38,,18,newton-cg,0.5071818031390877,1.686482
median,3,l2,1,newton-cholesky,0.39511144826732647,0.152372
mean,208,l2,1,newton-cg,0.5404720739045682,0.330829
median,18,,2,lbfgs,0.4846114412015291,0.135825
most_frequent,38,,6,sag,0.5128326415511771,0.1901
median,178,l2,2,newton-cholesky,0.5325796425796425,0.671655
median,98,,2,newton-cg,0.5327745289148798,0.197236
median,3,l2,17,sag,0.40064358426931523,0.084688
mean,178,l2,17,newton-cg,0.5270489024493601,0.344258
most_frequent,208,,12,lbfgs,0.5354126055880443,0.140496
median,98,l2,1,lbfgs,0.5201728960081363,0.215371
median,253,l2,6,newton-cholesky,0.5246243628394659,1.738842
mean,178,,2,newton-cg,0.5135477582846004,0.165858
median,178,,11,lbfgs,0.5284848832320452,0.110752
median,178,,12,lbfgs,0.5284848832320452,0.1126
median,253,,6,sag,0.5528677903910103,0.68493
median,98,l2,17,newton-cholesky,0.5220022277917015,0.411122
mean,3,l2,17,newton-cg,0.3953842289845516,0.109063
median,3,,2,newton-cholesky,0.39526213444342095,0.175934
median,178,l2,2,newton-cg,0.5270489024493601,0.307786
median,3,,11,lbfgs,0.4004871096429879,0.117605
median,98,l2,2,newton-cg,0.5142469700822103,0.280519
median,253,l2,6,sag,0.5528677903910103,0.686318
median,253,,6,sag,0.5528677903910103,0.682603
mean,253,l2,6,newton-cg,0.5479921366877889,0.311944
median,253,l2,6,newton-cholesky,0.5246243628394659,1.808018
median,18,,11,lbfgs,0.4846114412015291,0.141014
median,253,l2,6,newton-cholesky,0.5246243628394659,1.781079
median,253,l2,6,newton-cholesky,0.5246243628394659,1.7591
mean,208,l2,6,newton-cg,0.5345461479786422,0.314832
most_frequent,18,,1,newton-cg,0.4749772657321133,1.488354
median,253,l2,6,newton-cholesky,0.5246243628394659,1.746894
median,253,l2,6,sag,0.5528677903910103,0.683898
median,253,,6,sag,0.5528677903910103,0.683507
median,253,l2,11,lbfgs,0.5479921366877889,0.304322
median,253,l2,6,sag,0.5528677903910103,0.683743
median,253,l2,6,newton-cg,0.5479921366877889,0.368341
median,178,,6,newton-cholesky,0.6162401100791194,0.412616
median,253,,2,newton-cg,0.548806799607715,0.170408
median,178,l2,17,newton-cholesky,0.5002124928211884,0.751676
most_frequent,253,l2,11,lbfgs,0.5479921366877889,0.325257
median,253,l2,6,sag,0.5528677903910103,0.683896
median,253,l2,6,sag,0.5528677903910103,0.682611
median,98,l2,17,newton-cholesky,0.5220022277917015,0.41152
median,98,l2,17,newton-cholesky,0.5220022277917015,0.406717
median,18,,11,lbfgs,0.4846114412015291,0.139319
median,253,l2,6,newton-cholesky,0.5246243628394659,1.800026
median,98,l2,17,sag,0.5133077792520517,0.313403
median,253,l2,6,sag,0.5528677903910103,0.695717
median,253,l2,6,sag,0.5528677903910103,0.684674
median,18,,11,newton-cholesky,0.5180739961194936,0.253027
median,98,l2,17,newton-cg,0.5363636363636364,0.299112
mean,208,l2,17,newton-cholesky,0.5425206296373345,0.861902
mean,208,l2,6,sag,0.5444207468562474,0.56613
mean,208,,6,sag,0.5444207468562474,0.565117
median,253,l2,6,sag,0.5528677903910103,0.683951
median,98,l2,17,newton-cholesky,0.5220022277917015,0.408796
median,253,l2,6,sag,0.5528677903910103,0.684138
median,253,,6,sag,0.5528677903910103,0.681626
median,253,l2,6,sag,0.5528677903910103,0.700237
mean,253,l2,6,sag,0.554973053548905,0.716223
median,98,l2,6,sag,0.5133077792520517,0.320207
median,253,l2,6,sag,0.5528677903910103,0.689536
mean,253,l2,6,newton-cg,0.5479921366877889,0.317525
median,98,l2,6,sag,0.5133077792520517,0.308479
median,253,l2,6,sag,0.5528677903910103,0.702
median,253,l2,6,sag,0.5528677903910103,0.735264
median,208,l2,6,sag,0.5444207468562474,0.583908
median,253,,6,newton-cg,0.548806799607715,0.245391
median,253,,6,sag,0.5528677903910103,0.72944
mean,208,l2,17,sag,0.5444207468562474,0.602016
median,253,l2,6,sag,0.5528677903910103,0.762144
median,253,,6,sag,0.5528677903910103,0.710831
median,253,l2,6,sag,0.5528677903910103,0.691143
median,208,l2,17,newton-cholesky,0.5425206296373345,1.010184
median,253,l2,6,sag,0.5528677903910103,0.71288
mean,253,l2,6,sag,0.554973053548905,0.676044
mean,208,l2,6,sag,0.5444207468562474,0.563662
