strategy,k,kernel,c,degree,f1,elapsed_time
mean,118,poly,18,8,0.4268501262653309,0.078936
most_frequent,213,rbf,13,10,0.42444411122773695,0.116502
median,23,sigmoid,16,12,0.45563572964030624,0.069266
mean,103,sigmoid,6,14,0.4885233505370805,0.067848
most_frequent,138,sigmoid,7,18,0.47510305187650725,0.100728
most_frequent,263,rbf,18,5,0.4122457140001,0.122589
median,263,rbf,3,16,0.39312478727683403,0.096143
median,243,poly,19,15,0.4045267489711934,0.095979
median,103,rbf,6,19,0.48808588182730056,0.081065
median,103,sigmoid,6,9,0.4885233505370805,0.075063
most_frequent,103,sigmoid,6,5,0.5021741441878742,0.100354
median,263,rbf,18,5,0.4122457140001,0.096521
most_frequent,263,rbf,7,5,0.4122457140001,0.130936
median,103,sigmoid,6,19,0.4885233505370805,0.083615
mean,103,sigmoid,6,15,0.4885233505370805,0.066725
median,263,rbf,6,16,0.4122457140001,0.096884
median,103,rbf,18,19,0.48808588182730056,0.082056
median,243,poly,7,15,0.4045267489711934,0.110528
mean,263,rbf,6,14,0.41725824532842076,0.087796
median,243,poly,7,18,0.4045267489711934,0.092221
most_frequent,23,sigmoid,18,5,0.4582579343982852,0.097302
mean,118,rbf,18,8,0.4741124177966284,0.087539
median,213,rbf,13,15,0.42444411122773695,0.093473
median,263,poly,19,15,0.4045267489711934,0.098016
median,213,rbf,13,10,0.42444411122773695,0.09567
median,103,poly,6,9,0.4248451137340027,0.084225
mean,103,sigmoid,6,10,0.4885233505370805,0.063419
median,103,sigmoid,6,14,0.4885233505370805,0.074849
median,243,poly,19,18,0.4045267489711934,0.098709
median,118,poly,18,8,0.4268501262653309,0.088387
most_frequent,138,rbf,7,18,0.4441803505419067,0.109601
most_frequent,23,sigmoid,16,12,0.45563572964030624,0.096755
median,243,poly,6,9,0.4045267489711934,0.10072
most_frequent,243,poly,7,18,0.4045267489711934,0.117665
mean,263,rbf,6,14,0.41725824532842076,0.08726
most_frequent,23,sigmoid,7,18,0.4539576213260424,0.096279
most_frequent,103,sigmoid,6,18,0.5021741441878742,0.099112
most_frequent,138,sigmoid,3,16,0.5238982519491037,0.11005
median,103,sigmoid,18,9,0.5035353535353536,0.074067
mean,213,poly,18,8,0.40746619635508524,0.091578
