strategy,k,n_neighbors,weights,algorithm,leaf_size,f1,elapsed_time
most_frequent,78,12,uniform,auto,13,0.39511144826732647,0.266047
most_frequent,253,2,,brute,25,0.4320732600732601,0.119299
mean,48,3,,kd_tree,49,0.5251993230940599,0.076088
mean,63,11,,kd_tree,46,0.39827700698844076,0.068931
mean,193,19,distance,auto,14,0.3773571860686198,0.07987
median,148,12,distance,brute,13,0.39298600169743547,0.099958
mean,258,9,uniform,auto,39,0.39511144826732647,0.077905
mean,78,9,,auto,27,0.39298600169743547,0.076763
most_frequent,193,19,distance,kd_tree,38,0.3773571860686198,0.129159
mean,38,4,uniform,brute,25,0.5144746092114514,0.074042
median,148,19,distance,brute,13,0.3773571860686198,0.087441
mean,48,4,,kd_tree,49,0.5295407787398634,0.092226
most_frequent,193,9,uniform,auto,38,0.39511144826732647,0.100539
most_frequent,63,11,,kd_tree,46,0.39827700698844076,0.092327
median,148,12,distance,brute,39,0.39298600169743547,0.07766
mean,48,9,,kd_tree,49,0.4455700028799444,0.090145
most_frequent,253,2,uniform,auto,13,0.4320732600732601,0.117348
mean,193,9,distance,auto,14,0.39827700698844076,0.074607
mean,193,19,uniform,brute,25,0.3773571860686198,0.065936
mean,63,12,distance,brute,46,0.40910321781465164,0.075191
most_frequent,38,12,uniform,auto,13,0.42525163811713523,0.122859
mean,258,9,uniform,auto,27,0.39511144826732647,0.066803
mean,258,9,uniform,auto,39,0.39511144826732647,0.069015
most_frequent,78,12,uniform,auto,38,0.39511144826732647,0.104481
mean,258,4,uniform,auto,39,0.41489166804754624,0.065916
median,148,12,distance,kd_tree,46,0.39298600169743547,0.062773
most_frequent,78,12,uniform,auto,13,0.39511144826732647,0.110443
mean,258,12,uniform,auto,39,0.39511144826732647,0.068055
mean,193,9,distance,auto,14,0.39827700698844076,0.080698
mean,63,9,,kd_tree,46,0.41565592436735815,0.100184
mean,38,4,uniform,brute,25,0.5144746092114514,0.067518
mean,258,9,uniform,kd_tree,46,0.39511144826732647,0.063158
mean,38,12,distance,brute,13,0.4669183047838018,0.075855
median,148,12,distance,auto,27,0.39298600169743547,0.085486
mean,193,12,distance,auto,14,0.39511144826732647,0.074299
most_frequent,78,12,distance,kd_tree,38,0.39827700698844076,0.126994
most_frequent,78,12,distance,auto,13,0.39827700698844076,0.111268
mean,193,19,distance,auto,13,0.3773571860686198,0.062428
mean,78,2,,brute,25,0.5068759116127538,0.098475
most_frequent,78,2,,auto,13,0.5068759116127538,0.144202
most_frequent,193,19,uniform,brute,25,0.3773571860686198,0.120651
mean,253,9,,auto,27,0.39511144826732647,0.091085
most_frequent,78,12,uniform,kd_tree,38,0.39511144826732647,0.146151
most_frequent,78,12,uniform,auto,13,0.39511144826732647,0.09988
mean,48,9,uniform,auto,39,0.4455700028799444,0.072038
mean,48,12,uniform,auto,49,0.3980508956512183,0.068801
mean,78,3,,kd_tree,49,0.5315767663136085,0.059494
most_frequent,78,2,,brute,25,0.5068759116127538,0.138915
most_frequent,78,12,distance,auto,13,0.39827700698844076,0.156886
most_frequent,253,2,,brute,25,0.4320732600732601,0.151034
most_frequent,78,12,uniform,auto,38,0.39511144826732647,0.120827
most_frequent,253,12,uniform,brute,25,0.39511144826732647,0.10379
most_frequent,48,12,uniform,auto,13,0.3980508956512183,0.102209
most_frequent,78,12,distance,kd_tree,38,0.39827700698844076,0.087226
mean,253,9,,auto,27,0.39511144826732647,0.080547
