strategy,k,kernel,c,degree,f1,elapsed_time
mean,218,sigmoid,6,4,0.6187903883556056,0.0688
most_frequent,218,sigmoid,10,4,0.6310673477721532,0.106612
most_frequent,218,sigmoid,10,3,0.6310673477721532,0.105146
most_frequent,218,sigmoid,10,8,0.6310673477721532,0.106877
most_frequent,218,sigmoid,10,8,0.6310673477721532,0.10572
most_frequent,93,sigmoid,6,4,0.6374051950253323,0.107738
median,218,sigmoid,10,8,0.6310673477721532,0.082352
mean,238,sigmoid,6,8,0.6187903883556056,0.076749
most_frequent,218,sigmoid,6,8,0.6187903883556056,0.111261
median,93,sigmoid,10,8,0.6055538494897763,0.077295
most_frequent,218,sigmoid,6,4,0.6187903883556056,0.108725
