strategy,k,n_estimators,learning_rate,f1,elapsed_time
mean,253,46,28,0.09509885825675299,1.054948
mean,18,36,57,0.02223571749887539,0.267986
most_frequent,8,41,8,0.1192007797270955,0.410618
most_frequent,173,86,4,0.02708252111760883,1.777766
most_frequent,253,36,57,0.17536148062463855,0.788472
mean,123,56,89,0.20804797541639647,0.742637
most_frequent,23,71,69,0.04445355813776867,0.24579
most_frequent,248,36,69,0.25501060343165605,0.807089
most_frequent,253,46,28,0.09509885825675299,1.086505
most_frequent,248,36,89,0.13393591463766902,0.581239
mean,123,56,89,0.20804797541639647,0.738206
mean,253,46,28,0.09509885825675299,1.057446
most_frequent,123,56,89,0.21915908652750762,0.771881
most_frequent,248,71,89,0.13393591463766902,0.862389
most_frequent,248,56,89,0.13393591463766902,0.787975
most_frequent,253,56,28,0.09583959899749375,1.334679
mean,123,56,69,0.167759141443352,0.835022
most_frequent,123,56,89,0.21915908652750762,0.766712
most_frequent,123,56,89,0.21915908652750762,0.778421
most_frequent,123,6,24,0.1049192425508215,0.193815
mean,123,56,89,0.20804797541639647,0.748761
most_frequent,123,56,89,0.21915908652750762,0.838405
most_frequent,123,56,89,0.21915908652750762,0.773369
mean,123,56,89,0.20804797541639647,0.737723
most_frequent,123,46,28,0.12048012187331074,0.848427
most_frequent,123,71,89,0.21915908652750762,0.951705
mean,123,56,89,0.20804797541639647,0.743895
mean,123,56,89,0.20804797541639647,0.743292
most_frequent,253,46,28,0.09509885825675299,1.093057
most_frequent,173,56,89,0.21940600010775452,0.673597
most_frequent,123,71,89,0.21915908652750762,0.956261
most_frequent,123,56,89,0.21915908652750762,0.770328
most_frequent,123,56,89,0.21915908652750762,0.781018
most_frequent,123,56,89,0.21915908652750762,0.789607
most_frequent,123,46,28,0.12048012187331074,0.873599
most_frequent,173,6,89,0.1355232162249706,0.192643
most_frequent,173,56,24,0.09047619047619049,1.240548
mean,173,56,89,0.21940600010775452,0.643256
most_frequent,123,56,89,0.21915908652750762,0.780322
most_frequent,248,56,89,0.13393591463766902,0.757232
most_frequent,123,56,69,0.17770066191118822,0.899449
mean,123,36,89,0.20804797541639647,0.492972
most_frequent,123,56,28,0.10620996936786412,1.013679
most_frequent,253,46,89,0.2082948889966434,0.645539
most_frequent,123,71,89,0.21915908652750762,0.951689
most_frequent,123,56,89,0.21915908652750762,0.769643
most_frequent,123,56,89,0.21915908652750762,0.77241
most_frequent,123,36,69,0.17770066191118822,0.620597
most_frequent,123,71,69,0.17770066191118822,1.124339
mean,123,56,89,0.20804797541639647,0.737678
most_frequent,123,71,89,0.21915908652750762,0.952474
most_frequent,123,56,89,0.21915908652750762,0.781849
most_frequent,123,56,89,0.21915908652750762,0.76188
most_frequent,123,56,89,0.21915908652750762,0.766937
most_frequent,123,71,89,0.21915908652750762,0.972017
most_frequent,123,56,69,0.17770066191118822,0.929477
most_frequent,123,71,89,0.21915908652750762,0.951146
most_frequent,123,56,89,0.21915908652750762,0.766944
most_frequent,123,56,89,0.21915908652750762,0.762533
most_frequent,123,56,89,0.21915908652750762,0.772961
most_frequent,123,71,89,0.21915908652750762,0.946228
most_frequent,248,36,89,0.13393591463766902,0.580787
most_frequent,123,71,89,0.21915908652750762,0.95308
most_frequent,123,56,89,0.21915908652750762,0.770759
most_frequent,123,56,89,0.21915908652750762,0.780051
most_frequent,123,56,89,0.21915908652750762,0.770997
most_frequent,123,56,69,0.17770066191118822,0.907783
most_frequent,123,71,89,0.21915908652750762,0.95123
most_frequent,123,56,89,0.21915908652750762,0.774025
most_frequent,123,56,89,0.21915908652750762,0.776501
most_frequent,123,56,89,0.21915908652750762,0.772314
most_frequent,123,71,89,0.21915908652750762,0.951241
most_frequent,123,71,89,0.21915908652750762,0.952311
most_frequent,123,71,89,0.21915908652750762,0.984026
most_frequent,123,56,89,0.21915908652750762,0.787422
most_frequent,123,56,89,0.21915908652750762,0.772125
most_frequent,123,56,69,0.17770066191118822,0.908835
