strategy,k,n_estimators,learning_rate,f1,elapsed_time
most_frequent,8,96,8,0.1192007797270955,0.89516
most_frequent,173,6,24,0.12714146477304372,0.200257
most_frequent,168,96,22,0.09112596305578761,1.942474
mean,83,86,4,0.01714100064977258,1.242162
most_frequent,23,36,69,0.04445355813776867,0.201424
most_frequent,253,46,28,0.09509885825675299,1.134066
most_frequent,18,36,57,0.02223571749887539,0.313082
most_frequent,258,41,92,0.15502938906447677,0.519314
mean,248,71,5,0.014411955815464589,1.605927
most_frequent,123,56,89,0.21915908652750762,0.770772
most_frequent,253,96,8,0.011695906432748537,2.231362
most_frequent,123,96,8,0.0012345679012345679,1.696129
most_frequent,173,36,69,0.18296381980592508,0.765411
most_frequent,123,86,4,0.015971410006497724,1.569517
most_frequent,123,71,89,0.21915908652750762,0.952343
most_frequent,173,6,24,0.12714146477304372,0.205493
most_frequent,253,46,28,0.09509885825675299,1.095164
most_frequent,258,41,28,0.09583959899749375,0.976339
most_frequent,8,36,69,0.08989139515455305,0.376432
most_frequent,168,86,4,0.027155142758857925,1.760577
mean,18,36,57,0.02223571749887539,0.274776
most_frequent,123,56,89,0.21915908652750762,0.783837
mean,83,41,92,0.126250390285478,0.323306
mean,83,86,89,0.11571031307873414,0.462506
mean,248,96,5,0.004470435347628331,2.129505
most_frequent,173,6,69,0.09218559218559219,0.204656
most_frequent,18,36,89,0.03643146327356854,0.219518
most_frequent,258,41,22,0.10490810359231413,0.982958
most_frequent,253,96,22,0.09796806831894551,2.179916
most_frequent,168,46,28,0.026844890002784737,0.974874
most_frequent,123,96,22,0.10100250626566416,1.669442
mean,248,96,5,0.004470435347628331,2.137531
most_frequent,168,96,28,0.02758563074352548,1.935186
most_frequent,8,96,8,0.1192007797270955,0.847777
most_frequent,18,71,5,0.023525589573061192,0.714798
most_frequent,258,41,92,0.15502938906447677,0.540417
most_frequent,83,86,8,0.01176088369070825,1.261263
mean,248,36,5,0.016979057329934523,0.831847
most_frequent,248,71,5,0.014411955815464589,1.626028
