strategy,k,kernel,c,degree,f1,elapsed_time
median,18,sigmoid,6,12,0.45372879057547244,0.071846
most_frequent,233,linear,5,16,0.5656649528960742,0.109778
median,98,rbf,15,4,0.5227357243146717,0.082525
median,103,poly,17,19,0.41016739379312483,0.078636
median,268,poly,5,4,0.4133329525142392,0.107035
median,23,linear,1,8,0.5231189083820662,0.074993
most_frequent,278,poly,8,6,0.39535257897831,0.133939
mean,118,rbf,14,5,0.5604213525266157,0.076387
median,198,sigmoid,15,7,0.5361984506721348,0.081392
mean,58,sigmoid,15,7,0.4925419609630136,0.069397
median,23,linear,1,4,0.5231189083820662,0.088149
median,98,poly,15,4,0.43288706095723645,0.085669
median,198,linear,1,7,0.5539308305898695,0.080558
median,98,sigmoid,15,7,0.5505151768309664,0.078121
mean,58,sigmoid,15,7,0.4925419609630136,0.079379
median,103,poly,17,4,0.43288706095723645,0.090711
median,58,sigmoid,15,7,0.4824055087212982,0.079412
median,198,sigmoid,17,19,0.5294644439381282,0.087895
most_frequent,233,poly,5,16,0.39535257897831,0.131243
mean,23,linear,1,8,0.5231189083820662,0.06728
mean,23,linear,14,5,0.532007797270955,0.087412
median,23,linear,5,4,0.5543776106934002,0.084521
median,18,poly,5,4,0.42661925468943007,0.074873
mean,58,sigmoid,15,7,0.4925419609630136,0.06936
mean,98,rbf,15,4,0.5227357243146717,0.076506
median,278,poly,17,19,0.39535257897831,0.104371
median,198,sigmoid,15,7,0.5361984506721348,0.086967
median,233,linear,5,8,0.5767760640071853,0.088168
most_frequent,233,linear,15,7,0.5656649528960742,0.122903
most_frequent,268,poly,5,4,0.4133329525142392,0.152927
mean,118,sigmoid,15,7,0.5667975494291284,0.068
most_frequent,278,sigmoid,15,6,0.4942707009068565,0.113602
median,103,rbf,17,19,0.5161745661745661,0.083462
median,198,sigmoid,5,4,0.5520305594905136,0.081416
mean,58,sigmoid,15,7,0.4925419609630136,0.068034
median,118,rbf,15,4,0.5604213525266157,0.084092
mean,58,sigmoid,14,5,0.4925419609630136,0.068507
median,278,poly,8,19,0.39535257897831,0.096334
median,23,rbf,1,8,0.42505306476066707,0.074601
median,103,poly,1,8,0.41016739379312483,0.087931
mean,118,rbf,14,7,0.5604213525266157,0.109048
median,268,poly,5,7,0.39535257897831,0.104339
median,18,linear,5,16,0.5110483278904331,0.079634
median,103,poly,17,12,0.41016739379312483,0.086734
most_frequent,198,sigmoid,15,7,0.5460505953068882,0.107819
mean,58,rbf,15,7,0.5142034378876484,0.073188
median,23,linear,15,7,0.532007797270955,0.093333
median,198,linear,5,8,0.5539308305898695,0.084021
median,118,rbf,15,7,0.5604213525266157,0.082426
median,198,rbf,17,19,0.48836373935789146,0.093981
median,98,sigmoid,15,7,0.5505151768309664,0.075481
median,98,sigmoid,15,19,0.5505151768309664,0.075017
median,198,sigmoid,15,7,0.5361984506721348,0.079206
median,23,rbf,14,5,0.48433317593500663,0.084359
median,198,sigmoid,1,8,0.4144499425201179,0.079471
median,198,rbf,17,19,0.48836373935789146,0.093741
median,198,sigmoid,1,8,0.4144499425201179,0.080073
median,198,sigmoid,17,7,0.5294644439381282,0.083471
median,198,sigmoid,5,4,0.5520305594905136,0.082404
mean,118,sigmoid,15,5,0.5667975494291284,0.069166
median,198,sigmoid,15,8,0.5361984506721348,0.081097
median,198,sigmoid,15,7,0.5361984506721348,0.079909
median,233,linear,5,5,0.5767760640071853,0.083951
mean,23,rbf,14,5,0.48433317593500663,0.06908
median,198,sigmoid,5,4,0.5520305594905136,0.080428
mean,118,sigmoid,14,5,0.5739302935701828,0.069195
