strategy,k,penalty,c,solver,f1,elapsed_time
median,263,l2,5,lbfgs,0.5479921366877889,0.304056
mean,243,l2,4,lbfgs,0.5479921366877889,0.282637
most_frequent,238,,19,newton-cg,0.548806799607715,0.197957
most_frequent,143,l2,9,saga,0.580102107119651,0.530151
mean,83,l2,3,saga,0.5200819610834417,0.3153
median,273,l2,4,lbfgs,0.5479921366877889,0.320764
mean,258,l2,8,lbfgs,0.5479921366877889,0.302816
most_frequent,233,,7,newton-cg,0.548806799607715,0.208957
most_frequent,133,,6,sag,0.542856559492715,0.433891
mean,83,,5,saga,0.5200819610834417,0.325148
most_frequent,83,l2,6,sag,0.5387805520932456,0.302303
mean,263,l2,5,saga,0.535141776008649,0.886906
most_frequent,143,l2,19,saga,0.580102107119651,0.538782
median,263,,7,lbfgs,0.5484451870416784,0.122442
most_frequent,133,,9,saga,0.5376472582422238,0.520538
median,258,l2,8,lbfgs,0.5479921366877889,0.313273
mean,83,,8,saga,0.5200819610834417,0.319078
median,263,l2,4,lbfgs,0.5479921366877889,0.305847
mean,243,l2,4,saga,0.535141776008649,0.811479
mean,258,l2,8,lbfgs,0.5479921366877889,0.292186
most_frequent,243,l2,4,lbfgs,0.5479921366877889,0.341188
most_frequent,143,l2,9,saga,0.580102107119651,0.529296
most_frequent,238,l2,19,newton-cg,0.5502143589100111,0.359979
mean,243,l2,4,newton-cg,0.5479921366877889,0.327391
mean,83,l2,5,saga,0.5200819610834417,0.312963
most_frequent,233,,5,newton-cg,0.548806799607715,0.201074
median,133,,6,lbfgs,0.5147437110774246,0.109061
median,263,l2,5,lbfgs,0.5479921366877889,0.303016
mean,243,l2,4,sag,0.5607625272331156,0.67143
median,263,,7,newton-cg,0.548806799607715,0.173082
most_frequent,133,,7,newton-cg,0.5406911217437533,0.212585
median,273,l2,4,lbfgs,0.5479921366877889,0.312343
most_frequent,233,,5,saga,0.5498224864994732,0.805047
mean,83,l2,8,saga,0.5200819610834417,0.312427
median,273,l2,4,lbfgs,0.5479921366877889,0.322619
mean,258,l2,8,lbfgs,0.5479921366877889,0.31161
mean,83,,19,saga,0.5200819610834417,0.313512
mean,243,l2,4,saga,0.535141776008649,0.797324
median,238,,19,newton-cg,0.548806799607715,0.174993
mean,133,,8,lbfgs,0.5165955629292764,0.100281
most_frequent,238,,9,saga,0.5498224864994732,0.837403
most_frequent,83,,5,newton-cg,0.5166589875361806,0.214904
most_frequent,83,,5,sag,0.5387805520932456,0.301831
mean,258,,8,lbfgs,0.5363915021046981,0.11528
most_frequent,143,l2,7,newton-cg,0.5452311939268462,0.360477
most_frequent,143,l2,3,saga,0.580102107119651,0.527057
mean,83,,7,saga,0.5200819610834417,0.318637
most_frequent,238,l2,9,saga,0.5498224864994732,0.851081
most_frequent,238,,5,newton-cg,0.548806799607715,0.211015
most_frequent,233,l2,5,newton-cg,0.5479921366877889,0.373046
median,263,l2,4,lbfgs,0.5479921366877889,0.313992
most_frequent,143,l2,9,saga,0.580102107119651,0.53397
most_frequent,233,,7,saga,0.5498224864994732,0.833603
median,233,,4,lbfgs,0.5484451870416784,0.132534
median,273,,7,newton-cg,0.548806799607715,0.189865
most_frequent,143,l2,9,saga,0.580102107119651,0.556893
most_frequent,233,,5,newton-cg,0.548806799607715,0.205238
most_frequent,238,l2,9,saga,0.5498224864994732,0.84094
most_frequent,233,,5,newton-cg,0.548806799607715,0.199932
most_frequent,263,l2,4,newton-cg,0.5479921366877889,0.369094
most_frequent,233,l2,9,saga,0.5498224864994732,0.801289
most_frequent,233,,5,newton-cg,0.548806799607715,0.198641
most_frequent,143,l2,9,newton-cg,0.5452311939268462,0.323051
most_frequent,233,,7,saga,0.5498224864994732,0.805408
most_frequent,273,l2,9,saga,0.5498224864994732,0.927497
most_frequent,233,,3,saga,0.5498224864994732,0.806982
most_frequent,233,,4,newton-cg,0.548806799607715,0.194838
most_frequent,263,,7,newton-cg,0.548806799607715,0.206419
most_frequent,233,,9,newton-cg,0.548806799607715,0.198182
most_frequent,233,,4,lbfgs,0.5484451870416784,0.144332
median,263,,7,newton-cg,0.548806799607715,0.169877
most_frequent,263,,5,newton-cg,0.548806799607715,0.202786
median,263,,5,newton-cg,0.548806799607715,0.175624
most_frequent,143,l2,7,saga,0.580102107119651,0.527833
most_frequent,233,l2,3,saga,0.5498224864994732,0.800634
most_frequent,233,,5,newton-cg,0.548806799607715,0.197264
most_frequent,238,l2,5,saga,0.5498224864994732,0.847202
most_frequent,143,l2,7,newton-cg,0.5452311939268462,0.357036
median,238,l2,9,newton-cg,0.5479921366877889,0.330063
most_frequent,233,l2,4,newton-cg,0.5479921366877889,0.354403
most_frequent,143,l2,4,lbfgs,0.5414866547131993,0.258543
most_frequent,143,l2,7,saga,0.580102107119651,0.53008
most_frequent,273,l2,9,saga,0.5498224864994732,0.936589
most_frequent,238,l2,9,saga,0.5498224864994732,0.82394
most_frequent,143,l2,9,saga,0.580102107119651,0.5428
most_frequent,143,,7,newton-cg,0.5739225256122762,0.214972
most_frequent,263,l2,9,saga,0.5498224864994732,0.898603
median,273,l2,7,newton-cg,0.5479921366877889,0.33938
most_frequent,143,,7,saga,0.5740634597766558,0.533719
most_frequent,273,l2,9,saga,0.5498224864994732,0.923241
most_frequent,143,l2,7,saga,0.580102107119651,0.528157
most_frequent,143,,7,newton-cg,0.5739225256122762,0.206011
most_frequent,263,,7,saga,0.5498224864994732,0.895262
median,263,l2,7,saga,0.5330365128507543,0.868533
most_frequent,273,,7,newton-cg,0.548806799607715,0.20316
most_frequent,143,,7,saga,0.5740634597766558,0.545333
most_frequent,143,l2,9,saga,0.580102107119651,0.527164
most_frequent,263,,7,saga,0.5498224864994732,0.897619
median,273,,7,newton-cg,0.548806799607715,0.17617
most_frequent,238,l2,9,saga,0.5498224864994732,0.819311
median,143,,7,newton-cg,0.5570010974627779,0.180266
median,263,,9,saga,0.5330365128507543,0.88821
median,263,,7,saga,0.5330365128507543,0.883421
most_frequent,263,l2,9,newton-cg,0.5479921366877889,0.375026
most_frequent,263,l2,9,newton-cg,0.5479921366877889,0.386956
most_frequent,273,l2,9,saga,0.5498224864994732,0.934915
