strategy,k,n_neighbors,weights,algorithm,leaf_size,f1,elapsed_time
mean,93,8,,brute,41,0.4170880667956691,0.245913
most_frequent,123,6,uniform,ball_tree,20,0.41208196178956413,0.116515
median,173,7,,auto,26,0.393984962406015,0.083255
mean,168,2,,auto,26,0.41154381680697466,0.084457
median,133,15,,kd_tree,28,0.37735718606861984,0.09047
most_frequent,83,14,uniform,brute,22,0.37735718606861984,0.099003
most_frequent,193,16,distance,kd_tree,30,0.37735718606861984,0.090233
median,248,15,distance,ball_tree,29,0.37735718606861984,0.062794
mean,138,9,distance,brute,38,0.3799498746867168,0.070187
median,128,15,,auto,42,0.37735718606861984,0.095135
most_frequent,83,14,uniform,ball_tree,22,0.37735718606861984,0.123472
median,173,7,distance,ball_tree,26,0.39676970203285994,0.062217
median,133,15,,kd_tree,28,0.37735718606861984,0.06754
median,133,15,,kd_tree,28,0.37735718606861984,0.071535
most_frequent,83,14,distance,brute,38,0.37735718606861984,0.112878
median,128,15,,brute,42,0.37735718606861984,0.08152
median,133,15,uniform,ball_tree,28,0.37735718606861984,0.087987
median,248,2,,auto,26,0.41770846870262074,0.077654
mean,133,9,distance,brute,38,0.37735718606861984,0.074968
median,168,15,,auto,42,0.37735718606861984,0.085391
mean,138,2,,auto,26,0.39790206760966995,0.071962
most_frequent,193,16,distance,brute,22,0.37735718606861984,0.130366
median,173,8,,brute,26,0.393984962406015,0.10837
median,248,15,,auto,42,0.37735718606861984,0.101656
mean,93,8,,brute,20,0.4170880667956691,0.070818
mean,93,7,,brute,41,0.4200870171630406,0.063938
median,128,15,uniform,auto,42,0.37735718606861984,0.07167
mean,138,15,,brute,38,0.37735718606861984,0.080088
most_frequent,123,14,uniform,brute,20,0.37735718606861984,0.122714
median,173,7,,brute,41,0.393984962406015,0.077051
mean,168,2,,auto,26,0.41154381680697466,0.077805
most_frequent,193,6,distance,kd_tree,30,0.39432769959085745,0.11751
mean,168,2,,brute,26,0.41154381680697466,0.073002
median,133,15,uniform,brute,22,0.37735718606861984,0.092198
most_frequent,168,14,uniform,brute,22,0.37735718606861984,0.097863
median,173,7,,auto,30,0.393984962406015,0.078514
median,133,14,uniform,brute,28,0.37735718606861984,0.071442
median,173,15,distance,ball_tree,26,0.37735718606861984,0.060943
mean,138,15,distance,ball_tree,38,0.37735718606861984,0.054986
mean,83,14,uniform,brute,22,0.37735718606861984,0.064295
mean,138,15,,auto,42,0.37735718606861984,0.077339
median,173,7,,brute,26,0.393984962406015,0.082524
mean,93,8,,brute,20,0.4170880667956691,0.079746
median,93,8,,ball_tree,26,0.4170880667956691,0.073613
most_frequent,83,14,uniform,brute,41,0.37735718606861984,0.106629
mean,93,8,,auto,41,0.4170880667956691,0.072849
most_frequent,123,6,uniform,brute,22,0.41208196178956413,0.114823
most_frequent,123,8,,brute,20,0.393984962406015,0.107319
most_frequent,123,6,uniform,brute,20,0.41208196178956413,0.108332
most_frequent,93,14,uniform,brute,22,0.37735718606861984,0.101555
mean,93,7,,brute,41,0.4200870171630406,0.097007
mean,93,8,,ball_tree,26,0.4170880667956691,0.098488
median,168,2,,auto,26,0.41154381680697466,0.089621
mean,123,2,,auto,26,0.4201242898318922,0.103103
mean,93,8,,brute,26,0.4170880667956691,0.076275
mean,93,8,,brute,41,0.4170880667956691,0.071491
mean,93,8,,brute,41,0.4170880667956691,0.074825
mean,123,6,uniform,brute,41,0.42946087916848147,0.06661
mean,93,8,uniform,brute,41,0.4170880667956691,0.060587
most_frequent,123,7,uniform,ball_tree,20,0.3924131315944182,0.091681
most_frequent,173,7,,auto,26,0.393984962406015,0.114795
mean,93,6,uniform,ball_tree,41,0.43188737275286987,0.059807
mean,168,2,,brute,20,0.41154381680697466,0.071193
mean,168,2,distance,ball_tree,26,0.4377418555679425,0.054964
mean,173,7,,brute,41,0.393984962406015,0.07365
mean,93,8,,auto,26,0.4170880667956691,0.064349
mean,168,2,,brute,41,0.41154381680697466,0.076675
mean,93,8,,brute,41,0.4170880667956691,0.070306
mean,93,8,,brute,41,0.4170880667956691,0.077103
median,173,8,,auto,26,0.393984962406015,0.081782
median,173,2,,auto,26,0.4083782580858604,0.094673
most_frequent,123,8,uniform,ball_tree,20,0.393984962406015,0.107558
mean,168,8,,brute,26,0.37735718606861984,0.066961
mean,93,8,,brute,20,0.4170880667956691,0.08467
mean,93,14,uniform,brute,22,0.37735718606861984,0.075836
most_frequent,173,7,distance,ball_tree,20,0.39676970203285994,0.087484
mean,93,8,,brute,20,0.4170880667956691,0.07194
mean,168,2,,auto,20,0.41154381680697466,0.082742
mean,123,6,uniform,brute,41,0.42946087916848147,0.064812
mean,93,8,,brute,41,0.4170880667956691,0.075067
mean,93,8,,brute,41,0.4170880667956691,0.087459
mean,123,8,,brute,41,0.4117392246047217,0.08021
mean,93,8,,brute,26,0.4170880667956691,0.069068
mean,93,2,,brute,20,0.40623540094300326,0.080178
mean,93,8,,brute,41,0.4170880667956691,0.070152
mean,93,8,,brute,41,0.4170880667956691,0.09275
mean,93,8,,auto,26,0.4170880667956691,0.073485
mean,123,2,uniform,brute,41,0.4201242898318922,0.065618
mean,93,8,,brute,41,0.4170880667956691,0.078636
mean,123,2,,auto,26,0.4201242898318922,0.073668
mean,93,8,,brute,41,0.4170880667956691,0.078223
mean,123,6,,brute,41,0.42946087916848147,0.078451
mean,93,8,,brute,20,0.4170880667956691,0.070485
mean,123,8,,brute,41,0.4117392246047217,0.080546
mean,93,2,,auto,26,0.40623540094300326,0.077503
mean,123,6,uniform,brute,41,0.42946087916848147,0.06498
mean,168,2,,brute,26,0.41154381680697466,0.08266
mean,168,8,,auto,41,0.37735718606861984,0.07665
mean,93,8,,brute,20,0.4170880667956691,0.070693
mean,93,8,,auto,26,0.4170880667956691,0.079459
mean,93,8,,brute,41,0.4170880667956691,0.099495
mean,123,6,uniform,brute,26,0.42946087916848147,0.063448
mean,123,6,,auto,26,0.42946087916848147,0.072654
mean,93,8,,auto,41,0.4170880667956691,0.09553
mean,93,8,uniform,brute,41,0.4170880667956691,0.078275
mean,93,8,,brute,20,0.4170880667956691,0.083608
mean,123,2,,auto,26,0.4201242898318922,0.077121
mean,123,6,,brute,41,0.42946087916848147,0.079638
mean,93,8,,brute,20,0.4170880667956691,0.070974
mean,93,8,,brute,20,0.4170880667956691,0.085601
mean,93,8,,brute,41,0.4170880667956691,0.083331
mean,168,2,,brute,26,0.41154381680697466,0.075879
mean,93,8,,brute,20,0.4170880667956691,0.083398
