strategy,k,n_estimators,learning_rate,f1,elapsed_time
median,28,66,93,0.13277807312895032,0.322802
median,113,21,93,0.20044001708380046,0.269289
mean,208,76,69,0.1025619604566973,1.265614
most_frequent,113,56,76,0.208603530971952,0.746182
median,268,36,40,0.18647259173574965,0.871648
most_frequent,103,26,18,0.0,0.541081
most_frequent,193,21,87,0.18373950610792716,0.336487
mean,68,56,18,0.012592592592592591,0.794042
most_frequent,223,26,86,0.2082948889966434,0.442474
most_frequent,228,21,15,0.029824561403508774,0.566405
most_frequent,113,56,76,0.208603530971952,0.782104
most_frequent,193,21,18,0.012030075187969924,0.544641
most_frequent,223,56,76,0.17168433905276012,1.077275
most_frequent,208,26,18,0.038947368421052626,0.645532
most_frequent,68,56,86,0.15270752639173693,0.511986
mean,208,36,40,0.19202814729130518,0.831602
median,28,66,18,0.0994040657198552,0.69102
most_frequent,228,56,15,0.004678362573099415,1.368649
most_frequent,28,66,87,0.12254879623300677,0.43523
mean,208,66,93,0.14021457424966197,0.728804
mean,68,26,18,0.004074074074074075,0.398304
median,268,21,15,0.029239766081871343,0.544334
most_frequent,103,66,18,0.0013888888888888887,1.100249
most_frequent,228,21,69,0.1651265845773855,0.506786
mean,208,56,76,0.10473277210119317,0.815713
median,103,26,18,0.0018518518518518521,0.458103
most_frequent,208,21,87,0.14109640846482954,0.291779
mean,208,56,18,0.030833333333333334,1.289047
mean,193,76,69,0.2560131096973202,1.679959
most_frequent,193,21,18,0.012030075187969924,0.562848
mean,193,21,69,0.1580997949419002,0.492098
mean,103,56,18,0.0,0.958754
median,68,21,93,0.16664050699138416,0.239245
most_frequent,228,21,18,0.03659019343229869,0.565077
mean,68,56,87,0.11400091136933241,0.365825
most_frequent,103,21,18,0.004409171075837742,0.412832
most_frequent,228,21,15,0.029824561403508774,0.559069
most_frequent,223,21,15,0.030143540669856462,0.561702
most_frequent,208,76,69,0.1025619604566973,1.290828
most_frequent,113,26,18,0.0,0.517586
mean,113,21,69,0.1559293490643605,0.350993
median,113,26,93,0.21827725231234005,0.315813
median,113,56,93,0.21827725231234005,0.60767
most_frequent,223,56,76,0.17168433905276012,1.004493
most_frequent,193,21,87,0.18373950610792716,0.334076
most_frequent,193,26,86,0.1904576537681038,0.436541
median,113,21,87,0.1904576537681038,0.304981
median,113,56,93,0.21827725231234005,0.635188
most_frequent,223,26,86,0.2082948889966434,0.464649
most_frequent,113,21,93,0.20044001708380046,0.317365
median,193,21,87,0.18373950610792716,0.311148
most_frequent,228,21,87,0.2015687648792149,0.35975
median,113,21,93,0.20044001708380046,0.272238
median,193,21,93,0.20477125213967318,0.339078
median,113,21,93,0.20044001708380046,0.270429
median,113,21,93,0.20044001708380046,0.264375
mean,208,26,69,0.08677248677248678,0.504476
most_frequent,223,21,93,0.20044001708380046,0.382387
median,113,76,69,0.1737665842929001,0.997613
most_frequent,113,56,93,0.21827725231234005,0.633094
most_frequent,228,21,93,0.20044001708380046,0.382761
median,113,21,69,0.1559293490643605,0.34966
most_frequent,193,56,87,0.208603530971952,0.635829
most_frequent,193,56,93,0.22963527700369807,0.833022
median,68,21,87,0.11400091136933241,0.267893
median,223,56,76,0.17168433905276012,1.044123
most_frequent,223,26,93,0.20044001708380046,0.451055
most_frequent,193,21,87,0.18373950610792716,0.325431
mean,193,21,69,0.1580997949419002,0.500934
mean,208,21,93,0.14021457424966197,0.282822
most_frequent,223,56,86,0.2082948889966434,0.736587
most_frequent,223,26,87,0.208603530971952,0.437247
median,223,56,93,0.21827725231234005,0.839641
