strategy,k,n_neighbors,weights,algorithm,leaf_size,f1,elapsed_time
median,178,15,,ball_tree,41,0.37735718606861984,0.070006
most_frequent,213,10,distance,auto,30,0.37735718606861984,0.132027
most_frequent,118,15,distance,ball_tree,48,0.37735718606861984,0.112577
median,193,12,uniform,kd_tree,49,0.37735718606861984,0.069268
median,213,9,,ball_tree,23,0.37735718606861984,0.075207
median,218,4,distance,brute,28,0.4007818692029219,0.093113
median,3,16,,kd_tree,27,0.37735718606861984,0.083403
most_frequent,53,12,distance,auto,21,0.39511144826732647,0.157487
most_frequent,78,2,uniform,auto,24,0.38112085769980514,0.121925
mean,43,11,distance,brute,27,0.3799498746867168,0.079196
median,193,12,distance,auto,21,0.37735718606861984,0.097301
most_frequent,78,2,uniform,auto,21,0.38112085769980514,0.123588
most_frequent,213,4,distance,brute,30,0.4007818692029219,0.113517
most_frequent,78,2,uniform,auto,21,0.38112085769980514,0.110463
most_frequent,213,9,,ball_tree,23,0.37735718606861984,0.105066
median,218,11,distance,brute,28,0.393984962406015,0.090803
median,3,16,uniform,kd_tree,27,0.37735718606861984,0.098288
mean,43,15,distance,brute,27,0.37735718606861984,0.071225
mean,43,16,,brute,27,0.37735718606861984,0.09467
median,53,12,distance,kd_tree,49,0.37735718606861984,0.102144
most_frequent,213,9,distance,auto,21,0.37735718606861984,0.123714
most_frequent,118,15,distance,ball_tree,48,0.37735718606861984,0.120146
most_frequent,193,12,uniform,kd_tree,48,0.37735718606861984,0.098322
median,193,12,uniform,kd_tree,23,0.37735718606861984,0.076084
median,218,4,distance,brute,41,0.4007818692029219,0.092671
median,43,16,,kd_tree,27,0.37735718606861984,0.100947
median,53,12,distance,auto,21,0.37735718606861984,0.107906
median,193,15,distance,kd_tree,49,0.37735718606861984,0.095946
most_frequent,53,12,distance,auto,48,0.39511144826732647,0.124545
most_frequent,213,12,distance,auto,21,0.37735718606861984,0.147073
median,3,16,uniform,kd_tree,27,0.37735718606861984,0.11024
mean,178,15,,ball_tree,41,0.37735718606861984,0.071223
most_frequent,53,12,distance,brute,28,0.39511144826732647,0.130463
most_frequent,118,16,distance,ball_tree,48,0.37735718606861984,0.117159
most_frequent,213,10,distance,ball_tree,48,0.37735718606861984,0.092509
most_frequent,118,15,distance,ball_tree,23,0.37735718606861984,0.09476
most_frequent,213,10,distance,kd_tree,30,0.37735718606861984,0.101759
median,213,10,distance,auto,30,0.37735718606861984,0.080317
most_frequent,118,9,,ball_tree,23,0.3976755508314291,0.146417
