strategy,k,n_estimators,learning_rate,f1,elapsed_time
most_frequent,103,56,38,0.17675036951352743,0.965561
median,188,6,35,0.14792108476319005,0.202748
median,128,1,98,0.38111456663759463,0.088881
mean,38,41,70,0.08840282524493051,0.440969
most_frequent,78,1,6,0.38111456663759463,0.099924
mean,73,36,87,0.1049751418172471,0.251459
mean,68,51,43,0.08989139515455305,0.75648
mean,218,21,58,0.18251095459333444,0.528196
mean,73,41,34,0.1432748538011696,0.595789
mean,18,86,72,0.03163742690058479,0.386202
mean,218,36,58,0.2593470856628751,0.797984
mean,68,86,43,0.08989139515455305,1.144517
mean,18,86,72,0.03163742690058479,0.386025
mean,188,86,72,0.19699890752522334,1.899679
median,188,6,6,0.035672514619883036,0.180522
mean,38,21,58,0.10041771094402674,0.241397
mean,73,1,34,0.38111456663759463,0.062742
mean,128,1,98,0.38111456663759463,0.064497
most_frequent,103,86,38,0.17675036951352743,1.416991
mean,218,21,72,0.17479520056179093,0.506437
mean,73,36,43,0.08199665831244779,0.52
median,78,1,6,0.38111456663759463,0.076997
mean,128,36,87,0.20804797541639647,0.541618
mean,218,21,72,0.17479520056179093,0.525117
most_frequent,103,56,87,0.13368900105742212,0.411776
most_frequent,103,56,35,0.18998136366557422,1.016125
median,128,1,87,0.38111456663759463,0.081432
mean,73,41,70,0.10474722158932685,0.449408
mean,218,21,34,0.18647259173574965,0.511634
mean,68,6,35,0.1110609857978279,0.131515
mean,73,41,70,0.10474722158932685,0.478477
most_frequent,103,41,38,0.1872766853030011,0.717916
mean,38,41,34,0.10230969580814783,0.465995
most_frequent,68,56,38,0.13375104427736006,0.80415
mean,68,51,43,0.08989139515455305,0.693799
mean,38,41,72,0.09550391129338498,0.36039
mean,128,36,87,0.20804797541639647,0.526679
median,188,36,35,0.17594627594627596,0.884934
median,128,1,6,0.38111456663759463,0.086054
most_frequent,78,51,6,0.017024041585445092,0.831816
median,73,36,98,0.1967497869252255,0.266642
mean,18,41,34,0.10032100177981185,0.415476
median,128,36,87,0.20804797541639647,0.531568
mean,128,1,98,0.38111456663759463,0.068654
mean,128,36,87,0.20804797541639647,0.512852
mean,128,36,58,0.23280604893877205,0.695572
mean,218,21,58,0.18251095459333444,0.50494
mean,218,21,58,0.18251095459333444,0.497617
mean,218,21,58,0.18251095459333444,0.52436
mean,218,36,58,0.2593470856628751,0.818673
mean,218,36,87,0.21915908652750762,0.534876
mean,218,21,58,0.18251095459333444,0.513064
mean,128,36,87,0.20804797541639647,0.514405
median,128,1,87,0.38111456663759463,0.075942
mean,218,21,87,0.169586436954858,0.371135
median,128,1,87,0.38111456663759463,0.076351
mean,128,1,58,0.38111456663759463,0.068248
median,218,21,87,0.169586436954858,0.380844
mean,218,21,58,0.18251095459333444,0.503124
mean,128,1,98,0.38111456663759463,0.066464
median,128,1,58,0.38111456663759463,0.075503
mean,128,36,58,0.23280604893877205,0.661985
mean,128,21,58,0.20243846330802856,0.427911
median,218,36,98,0.2918195125212669,0.433375
mean,128,36,58,0.23280604893877205,0.691235
mean,218,21,58,0.18251095459333444,0.528773
median,218,21,98,0.26737506807682243,0.322537
median,128,1,87,0.38111456663759463,0.087621
mean,218,1,58,0.38111456663759463,0.076038
mean,218,36,87,0.21915908652750762,0.53731
mean,218,36,58,0.2593470856628751,0.860275
median,128,36,98,0.21181951252126688,0.306654
mean,218,21,87,0.169586436954858,0.368309
mean,218,36,58,0.2593470856628751,0.804793
median,128,1,87,0.38111456663759463,0.074258
mean,128,21,58,0.20243846330802856,0.400954
mean,128,1,87,0.38111456663759463,0.064569
mean,218,21,58,0.18251095459333444,0.516214
mean,128,21,58,0.20243846330802856,0.443662
mean,128,36,87,0.20804797541639647,0.536838
mean,218,1,87,0.38111456663759463,0.075626
mean,128,36,87,0.20804797541639647,0.516846
mean,128,1,98,0.38111456663759463,0.076408
mean,218,36,87,0.21915908652750762,0.505397
median,128,1,98,0.38111456663759463,0.073825
median,128,1,87,0.38111456663759463,0.072987
median,128,1,87,0.38111456663759463,0.073768
median,218,36,87,0.21915908652750762,0.503966
median,218,1,98,0.38111456663759463,0.077605
mean,218,36,87,0.21915908652750762,0.494737
mean,128,36,87,0.20804797541639647,0.500846
mean,218,36,98,0.2918195125212669,0.415633
median,128,21,98,0.21181951252126688,0.200558
median,128,1,98,0.38111456663759463,0.074028
median,128,1,98,0.38111456663759463,0.072498
median,218,1,87,0.38111456663759463,0.076412
median,128,1,98,0.38111456663759463,0.073344
mean,128,1,98,0.38111456663759463,0.068631
median,128,1,87,0.38111456663759463,0.07602
mean,218,36,87,0.21915908652750762,0.511884
mean,128,36,87,0.20804797541639647,0.514446
median,218,21,98,0.26737506807682243,0.290219
mean,218,1,87,0.38111456663759463,0.068621
median,128,1,87,0.38111456663759463,0.071958
median,128,1,87,0.38111456663759463,0.073787
mean,218,21,98,0.26737506807682243,0.273162
median,128,1,87,0.38111456663759463,0.073829
median,128,1,87,0.38111456663759463,0.074232
mean,218,36,87,0.21915908652750762,0.495026
mean,218,21,87,0.169586436954858,0.364824
mean,218,1,98,0.38111456663759463,0.069573
median,128,36,87,0.20804797541639647,0.511713
mean,218,1,87,0.38111456663759463,0.073144
