strategy,k,n_neighbors,weights,algorithm,leaf_size,f1,elapsed_time
median,3,10,,brute,13,0.37735718606861984,0.245131
median,28,3,distance,ball_tree,31,0.4524275180705387,0.07631
median,13,10,,brute,11,0.43738110708870936,0.093403
median,128,11,,ball_tree,33,0.39511144826732647,0.073488
most_frequent,93,19,,brute,41,0.37735718606861984,0.133011
median,108,19,uniform,ball_tree,32,0.39511144826732647,0.074799
mean,53,5,,ball_tree,10,0.42307790948116397,0.065241
mean,173,2,uniform,ball_tree,18,0.4589726928908215,0.062099
mean,123,14,distance,kd_tree,48,0.39511144826732647,0.054126
median,163,17,uniform,ball_tree,32,0.37735718606861984,0.066994
median,128,11,,ball_tree,33,0.39511144826732647,0.072231
median,128,11,,brute,33,0.39511144826732647,0.092063
median,163,19,uniform,ball_tree,32,0.37735718606861984,0.101052
median,128,11,,ball_tree,33,0.39511144826732647,0.066962
median,28,3,distance,ball_tree,18,0.4524275180705387,0.061306
median,108,10,,ball_tree,32,0.4130918218032556,0.066617
mean,28,2,uniform,ball_tree,18,0.45214531277689174,0.057044
mean,53,5,,ball_tree,48,0.42307790948116397,0.055672
median,128,11,uniform,ball_tree,32,0.39511144826732647,0.06522
median,128,11,,ball_tree,31,0.39511144826732647,0.065903
median,163,17,uniform,ball_tree,13,0.37735718606861984,0.069207
median,108,11,uniform,ball_tree,32,0.4130918218032556,0.064887
mean,53,5,distance,ball_tree,10,0.4782056171644273,0.051811
median,108,19,uniform,ball_tree,11,0.39511144826732647,0.065896
mean,13,10,uniform,ball_tree,18,0.43738110708870936,0.054285
median,13,17,,brute,11,0.38611673927261747,0.079101
median,128,14,distance,ball_tree,33,0.39511144826732647,0.087524
median,93,19,,brute,41,0.37735718606861984,0.093301
median,163,11,uniform,ball_tree,32,0.40916200676232944,0.109648
mean,173,14,uniform,ball_tree,18,0.39511144826732647,0.059485
median,108,11,,ball_tree,33,0.4130918218032556,0.0661
median,3,14,,brute,13,0.37735718606861984,0.080581
most_frequent,93,19,,ball_tree,10,0.37735718606861984,0.130701
median,163,17,uniform,ball_tree,18,0.37735718606861984,0.067901
median,108,19,distance,ball_tree,32,0.39511144826732647,0.063161
median,163,17,uniform,ball_tree,31,0.37735718606861984,0.068161
mean,128,11,,ball_tree,10,0.39511144826732647,0.059977
median,3,10,,ball_tree,31,0.37735718606861984,0.064607
median,28,14,distance,ball_tree,31,0.3973187060301398,0.060999
mean,123,14,distance,kd_tree,10,0.39511144826732647,0.058789
median,3,19,,brute,13,0.37735718606861984,0.082883
mean,163,17,uniform,ball_tree,32,0.37735718606861984,0.076615
mean,53,5,,brute,10,0.42307790948116397,0.080438
most_frequent,93,19,,ball_tree,33,0.37735718606861984,0.120855
median,173,11,,ball_tree,33,0.40916200676232944,0.067413
median,28,3,distance,ball_tree,18,0.4524275180705387,0.058573
median,28,3,,brute,11,0.4421501227817017,0.088255
mean,123,3,distance,ball_tree,48,0.5045850952166742,0.077306
mean,3,10,,brute,10,0.37735718606861984,0.067632
median,28,3,,brute,33,0.4421501227817017,0.089002
median,108,11,,ball_tree,33,0.4130918218032556,0.088057
median,108,19,distance,ball_tree,32,0.39511144826732647,0.077955
median,108,19,distance,ball_tree,32,0.39511144826732647,0.062746
median,108,10,distance,ball_tree,32,0.4130918218032556,0.062562
median,108,19,distance,ball_tree,33,0.39511144826732647,0.065804
median,108,10,,brute,33,0.4130918218032556,0.099873
median,108,19,distance,ball_tree,32,0.39511144826732647,0.088369
median,108,11,,ball_tree,31,0.4130918218032556,0.068791
median,108,19,distance,ball_tree,32,0.39511144826732647,0.067583
median,108,11,,ball_tree,32,0.4130918218032556,0.0975
median,108,10,,ball_tree,31,0.4130918218032556,0.067363
median,128,11,,ball_tree,32,0.39511144826732647,0.068434
median,108,11,,ball_tree,33,0.4130918218032556,0.06636
median,108,19,uniform,ball_tree,32,0.39511144826732647,0.065633
median,108,19,,ball_tree,32,0.39511144826732647,0.066496
median,108,10,,ball_tree,33,0.4130918218032556,0.066201
median,108,10,,ball_tree,32,0.4130918218032556,0.066864
median,28,3,distance,ball_tree,33,0.4524275180705387,0.061414
median,108,11,distance,ball_tree,33,0.4130918218032556,0.06153
median,108,11,,ball_tree,33,0.4130918218032556,0.066116
