strategy,k,kernel,c,degree,f1,elapsed_time
mean,53,linear,7,3,0.5581636348226737,0.082175
mean,193,linear,18,6,0.5076691339849235,0.069478
median,133,rbf,5,7,0.4390766130405083,0.0826
most_frequent,163,linear,7,14,0.5214867978025873,0.113877
most_frequent,103,poly,2,12,0.40746619635508524,0.107133
mean,148,linear,8,18,0.5442469040409543,0.069549
median,108,poly,5,4,0.42454559951635973,0.084931
mean,33,linear,8,5,0.46770537454747985,0.077832
median,128,linear,7,5,0.532829256513467,0.077627
most_frequent,33,linear,1,9,0.45233888918099446,0.099692
median,53,linear,7,3,0.5396451163041551,0.083882
most_frequent,193,linear,1,9,0.5076691339849235,0.107416
median,193,linear,18,6,0.5076691339849235,0.07707
mean,53,linear,7,5,0.5581636348226737,0.071853
mean,193,linear,18,14,0.5076691339849235,0.076117
median,53,linear,7,7,0.5396451163041551,0.08194
median,128,linear,5,7,0.532829256513467,0.087931
mean,128,linear,7,3,0.532829256513467,0.075575
mean,193,linear,8,18,0.5076691339849235,0.06744
most_frequent,163,linear,18,14,0.5214867978025873,0.106486
most_frequent,163,linear,18,14,0.5214867978025873,0.102908
mean,33,linear,8,4,0.46770537454747985,0.082687
most_frequent,108,poly,5,12,0.40746619635508524,0.113927
most_frequent,163,linear,7,5,0.5214867978025873,0.115909
most_frequent,148,linear,8,18,0.5499561706197862,0.104488
median,108,poly,7,14,0.40746619635508524,0.085713
mean,33,linear,18,6,0.48302701197438036,0.11791
most_frequent,103,poly,7,5,0.4448304998012601,0.128953
median,133,linear,8,7,0.5245641882483988,0.084088
mean,193,linear,7,6,0.5076691339849235,0.068881
mean,193,linear,18,18,0.5076691339849235,0.074797
mean,148,linear,7,18,0.5442469040409543,0.069041
most_frequent,103,linear,7,14,0.5544029155013137,0.100804
most_frequent,103,poly,2,6,0.42745158242234266,0.118154
median,108,linear,5,4,0.5540325451309434,0.079748
mean,33,linear,1,5,0.45233888918099446,0.069339
mean,193,linear,8,6,0.5076691339849235,0.078062
most_frequent,53,linear,7,14,0.5581636348226737,0.106089
most_frequent,33,linear,7,9,0.46770537454747985,0.124739
median,53,linear,7,3,0.5396451163041551,0.090282
mean,193,linear,18,3,0.5076691339849235,0.068107
mean,108,poly,5,18,0.40746619635508524,0.073364
mean,53,linear,5,4,0.5581636348226737,0.066876
mean,148,linear,8,18,0.5442469040409543,0.069168
mean,33,linear,7,3,0.46770537454747985,0.071935
mean,163,linear,18,6,0.5214867978025873,0.070119
mean,193,linear,18,3,0.5076691339849235,0.068961
mean,148,poly,8,18,0.40746619635508524,0.075479
median,53,linear,7,5,0.5396451163041551,0.080982
mean,33,linear,18,6,0.48302701197438036,0.118931
mean,163,linear,8,6,0.5214867978025873,0.06927
most_frequent,103,linear,18,6,0.5544029155013137,0.100224
mean,163,linear,18,5,0.5214867978025873,0.068529
mean,53,linear,7,5,0.5581636348226737,0.071763
most_frequent,33,linear,8,18,0.46770537454747985,0.108736
median,108,linear,8,4,0.5540325451309434,0.074446
median,108,linear,7,5,0.5540325451309434,0.07797
mean,33,linear,5,5,0.46389585073795603,0.069685
mean,103,linear,7,3,0.5544029155013137,0.075545
mean,33,linear,8,5,0.46770537454747985,0.075852
most_frequent,33,linear,7,3,0.46770537454747985,0.110007
median,128,linear,7,5,0.532829256513467,0.077176
median,128,linear,7,9,0.532829256513467,0.07799
median,108,linear,5,4,0.5540325451309434,0.075938
median,128,linear,18,6,0.532829256513467,0.078456
mean,163,linear,7,6,0.5214867978025873,0.070036
most_frequent,33,linear,7,9,0.46770537454747985,0.118152
median,128,linear,1,5,0.532829256513467,0.075208
median,33,linear,7,5,0.46770537454747985,0.081852
median,103,linear,7,5,0.5544029155013137,0.077143
mean,148,linear,18,6,0.5442469040409543,0.076641
mean,53,linear,18,6,0.5581636348226737,0.098328
most_frequent,103,linear,8,14,0.5544029155013137,0.103583
mean,103,linear,7,3,0.5544029155013137,0.09247
mean,108,linear,7,3,0.5540325451309434,0.06727
most_frequent,103,linear,7,9,0.5544029155013137,0.117206
mean,103,linear,8,5,0.5544029155013137,0.067529
mean,33,linear,7,5,0.46770537454747985,0.071525
median,108,linear,8,4,0.5540325451309434,0.076361
median,53,linear,7,5,0.5396451163041551,0.082407
median,128,linear,7,5,0.532829256513467,0.075771
median,128,linear,18,5,0.532829256513467,0.079101
mean,33,linear,18,6,0.48302701197438036,0.122806
median,128,linear,7,3,0.532829256513467,0.078106
median,148,linear,8,18,0.5442469040409543,0.077529
mean,33,linear,18,6,0.48302701197438036,0.132813
mean,53,linear,7,5,0.5581636348226737,0.079152
most_frequent,148,linear,5,4,0.5499561706197862,0.102168
median,108,linear,7,5,0.5540325451309434,0.074329
median,53,linear,7,5,0.5396451163041551,0.085078
mean,103,linear,7,3,0.5544029155013137,0.07763
mean,103,linear,7,3,0.5544029155013137,0.078358
most_frequent,148,linear,8,3,0.5499561706197862,0.101002
mean,33,linear,18,3,0.48302701197438036,0.144873
median,108,linear,8,4,0.5540325451309434,0.095214
most_frequent,108,linear,8,18,0.5362547673531656,0.10375
mean,103,linear,7,3,0.5544029155013137,0.066229
mean,108,linear,5,4,0.5540325451309434,0.075304
median,33,linear,5,4,0.46389585073795603,0.077717
mean,103,linear,7,3,0.5544029155013137,0.067651
median,128,linear,18,5,0.532829256513467,0.089249
mean,108,linear,8,4,0.5540325451309434,0.065964
median,53,linear,7,5,0.5396451163041551,0.080591
mean,103,linear,7,3,0.5544029155013137,0.071313
median,108,linear,7,5,0.5540325451309434,0.076193
median,108,linear,8,4,0.5540325451309434,0.075954
mean,103,linear,7,5,0.5544029155013137,0.066121
mean,53,linear,7,5,0.5581636348226737,0.070758
mean,53,linear,7,3,0.5581636348226737,0.071547
median,103,linear,7,3,0.5544029155013137,0.076012
median,128,linear,7,6,0.532829256513467,0.076409
median,108,linear,5,4,0.5540325451309434,0.077134
median,108,linear,5,4,0.5540325451309434,0.079179
mean,148,linear,8,18,0.5442469040409543,0.06876
median,108,linear,5,4,0.5540325451309434,0.081106
