strategy,k,kernel,c,degree,f1,elapsed_time
most_frequent,173,linear,3,14,0.5698560740894838,0.10826
median,278,linear,10,19,0.5928510560547174,0.083687
median,73,rbf,7,14,0.5092683229983,0.084863
mean,248,linear,13,19,0.5928510560547174,0.07612
mean,193,poly,2,9,0.3773571860686198,0.092456
median,73,linear,4,11,0.5868906896138018,0.083325
median,228,sigmoid,6,15,0.5852471759107916,0.080419
most_frequent,198,linear,12,9,0.5984871269081795,0.106952
most_frequent,73,sigmoid,3,8,0.5863246390019845,0.101078
most_frequent,273,sigmoid,8,12,0.563300400760355,0.110326
median,73,rbf,7,9,0.5092683229983,0.081603
most_frequent,198,linear,12,9,0.5984871269081795,0.109042
median,73,linear,4,19,0.5868906896138018,0.07694
median,73,rbf,4,11,0.509970077384265,0.080531
most_frequent,273,sigmoid,2,12,0.5456716285663654,0.106725
most_frequent,273,sigmoid,3,12,0.6267081846029214,0.108968
mean,193,linear,12,9,0.5895881777346308,0.073031
most_frequent,228,sigmoid,6,15,0.5852471759107916,0.115228
mean,248,linear,13,9,0.5928510560547174,0.074177
most_frequent,198,linear,3,9,0.5984871269081795,0.103823
mean,228,sigmoid,6,15,0.5852471759107916,0.071147
median,228,linear,6,15,0.5928510560547174,0.077995
median,73,sigmoid,6,11,0.5873803084787066,0.072101
most_frequent,173,linear,3,14,0.5698560740894838,0.105205
mean,248,linear,2,9,0.5928510560547174,0.074303
mean,193,poly,13,19,0.3773571860686198,0.084891
median,228,sigmoid,8,15,0.563300400760355,0.079788
mean,193,poly,10,9,0.3773571860686198,0.087816
median,228,linear,10,15,0.5928510560547174,0.081981
mean,248,linear,13,19,0.5928510560547174,0.073737
median,278,linear,4,19,0.5928510560547174,0.094167
most_frequent,73,sigmoid,3,8,0.5863246390019845,0.101669
median,228,sigmoid,6,9,0.5852471759107916,0.089879
median,73,sigmoid,6,15,0.5873803084787066,0.075055
median,198,linear,12,9,0.6077244274498279,0.087094
median,73,linear,4,11,0.5868906896138018,0.076502
median,73,linear,4,15,0.5868906896138018,0.082425
median,73,sigmoid,6,15,0.5873803084787066,0.079956
median,228,sigmoid,8,15,0.563300400760355,0.08374
median,278,linear,10,9,0.5928510560547174,0.082108
mean,248,linear,2,19,0.5928510560547174,0.07622
median,193,linear,4,11,0.5895881777346308,0.078608
median,278,rbf,7,19,0.459840246389954,0.095611
most_frequent,198,linear,10,19,0.5984871269081795,0.102015
median,228,linear,4,11,0.5928510560547174,0.080425
median,73,linear,6,11,0.5868906896138018,0.077337
mean,248,linear,3,19,0.5928510560547174,0.074714
most_frequent,273,sigmoid,3,19,0.6267081846029214,0.109685
median,248,linear,6,15,0.5928510560547174,0.082276
most_frequent,198,linear,2,9,0.5984871269081795,0.107506
most_frequent,198,linear,12,9,0.5984871269081795,0.108977
median,73,sigmoid,10,11,0.6121126487716877,0.077942
most_frequent,198,linear,12,9,0.5984871269081795,0.110327
most_frequent,73,sigmoid,6,11,0.5873803084787066,0.104165
most_frequent,73,linear,3,9,0.5868906896138018,0.108026
median,73,linear,10,19,0.5868906896138018,0.08271
mean,248,linear,2,19,0.5928510560547174,0.076992
most_frequent,273,linear,12,9,0.5747148063395203,0.111234
most_frequent,198,linear,3,9,0.5984871269081795,0.108514
median,228,linear,6,15,0.5928510560547174,0.092031
median,73,sigmoid,2,19,0.5452712479485935,0.07412
most_frequent,273,linear,2,19,0.5747148063395203,0.119841
most_frequent,198,linear,12,9,0.5984871269081795,0.11053
mean,248,linear,2,12,0.5928510560547174,0.073788
median,198,linear,10,19,0.6077244274498279,0.076953
most_frequent,198,linear,12,9,0.5984871269081795,0.104435
median,73,linear,10,19,0.5868906896138018,0.080028
mean,248,linear,2,19,0.5928510560547174,0.072832
median,228,linear,6,9,0.5928510560547174,0.086948
most_frequent,198,sigmoid,6,9,0.594115382879685,0.114253
median,73,sigmoid,6,11,0.5873803084787066,0.079726
median,228,linear,6,9,0.5928510560547174,0.086101
median,273,sigmoid,3,12,0.6267081846029214,0.086109
most_frequent,73,sigmoid,12,9,0.6195200561790951,0.116418
most_frequent,228,sigmoid,3,12,0.6267081846029214,0.119891
median,73,linear,6,11,0.5868906896138018,0.081008
median,248,sigmoid,6,11,0.5852471759107916,0.089243
most_frequent,273,linear,3,9,0.5747148063395203,0.121085
mean,248,linear,2,19,0.5928510560547174,0.076802
most_frequent,248,linear,2,19,0.5747148063395203,0.117998
median,228,linear,3,15,0.5928510560547174,0.085986
median,73,linear,6,15,0.5868906896138018,0.084077
median,228,linear,2,19,0.5928510560547174,0.091467
median,198,linear,6,15,0.6077244274498279,0.080523
most_frequent,198,linear,2,19,0.5984871269081795,0.111496
most_frequent,198,sigmoid,3,9,0.6080453659401028,0.104981
most_frequent,273,sigmoid,3,9,0.6267081846029214,0.107812
most_frequent,198,linear,3,19,0.5984871269081795,0.103692
median,198,linear,3,9,0.6077244274498279,0.085989
median,73,sigmoid,6,19,0.5873803084787066,0.081552
most_frequent,273,linear,3,19,0.5747148063395203,0.11192
most_frequent,198,sigmoid,3,9,0.6080453659401028,0.11525
most_frequent,198,sigmoid,6,9,0.594115382879685,0.109312
most_frequent,198,linear,3,9,0.5984871269081795,0.108675
most_frequent,273,sigmoid,2,19,0.5456716285663654,0.116555
most_frequent,198,linear,6,9,0.5984871269081795,0.116073
most_frequent,198,sigmoid,3,19,0.6080453659401028,0.117501
most_frequent,198,sigmoid,3,9,0.6080453659401028,0.109027
most_frequent,198,sigmoid,3,9,0.6080453659401028,0.10825
most_frequent,198,linear,3,9,0.5984871269081795,0.127744
most_frequent,198,linear,3,9,0.5984871269081795,0.122395
most_frequent,273,sigmoid,3,9,0.6267081846029214,0.109722
most_frequent,198,sigmoid,6,9,0.594115382879685,0.107124
median,73,sigmoid,3,19,0.5863246390019845,0.071977
mean,198,linear,2,19,0.5895881777346308,0.069879
most_frequent,198,sigmoid,3,19,0.6080453659401028,0.105109
median,198,sigmoid,3,19,0.6080453659401028,0.076385
median,198,linear,6,15,0.6077244274498279,0.077396
median,198,sigmoid,6,9,0.594115382879685,0.091214
most_frequent,198,linear,3,9,0.5984871269081795,0.10769
median,248,linear,10,19,0.5928510560547174,0.087218
median,228,linear,10,15,0.5928510560547174,0.085328
mean,248,sigmoid,2,19,0.5558688387635756,0.075037
mean,248,linear,12,19,0.5928510560547174,0.080003
most_frequent,198,linear,2,9,0.5984871269081795,0.13011
most_frequent,198,linear,3,9,0.5984871269081795,0.156039
most_frequent,198,sigmoid,3,9,0.6080453659401028,0.150906
median,198,linear,3,19,0.6077244274498279,0.111024
most_frequent,198,linear,6,9,0.5984871269081795,0.1189
median,228,linear,12,15,0.5928510560547174,0.080376
most_frequent,273,sigmoid,3,9,0.6267081846029214,0.114979
most_frequent,273,sigmoid,3,9,0.6267081846029214,0.114064
most_frequent,273,sigmoid,6,9,0.5852471759107916,0.122441
