strategy,k,penalty,c,solver,f1,elapsed_time
most_frequent,193,l2,10,newton-cholesky,0.5102717868621759,0.820557
most_frequent,233,l2,3,saga,0.5498224864994732,0.895927
mean,238,,19,newton-cg,0.548806799607715,0.1819
most_frequent,58,,17,lbfgs,0.5428532610988751,0.147226
median,3,l2,7,newton-cg,0.4006149982153209,0.120083
mean,138,,4,newton-cg,0.5496839742453777,0.174467
median,258,,10,lbfgs,0.5484451870416784,0.138085
median,253,l2,19,saga,0.5330365128507543,0.913355
median,138,l2,18,newton-cg,0.5452311939268462,0.351736
median,218,,4,sag,0.554973053548905,0.685373
median,3,,19,newton-cg,0.4004871096429879,0.237728
median,138,l2,17,lbfgs,0.5452311939268462,0.237837
median,218,,10,lbfgs,0.5484451870416784,0.144777
mean,238,l2,19,saga,0.535141776008649,0.808183
median,138,l2,18,lbfgs,0.5452311939268462,0.236494
median,258,,10,saga,0.5330365128507543,0.923512
median,218,l2,19,saga,0.5330365128507543,0.759141
median,218,,19,saga,0.5330365128507543,0.781225
median,233,l2,3,lbfgs,0.5479921366877889,0.303352
most_frequent,138,l2,10,newton-cholesky,0.5323761423761424,0.664725
mean,138,,7,newton-cg,0.5496839742453777,0.184067
mean,238,,19,sag,0.5489344062059098,0.671604
median,3,,7,newton-cg,0.4004871096429879,0.260031
median,138,l2,18,newton-cg,0.5452311939268462,0.338854
median,218,,4,newton-cg,0.5476956884966039,0.216134
median,218,,19,newton-cg,0.5476956884966039,0.221284
mean,138,,4,saga,0.5597371706928846,0.545332
median,138,,4,newton-cg,0.5478321223935259,0.182648
median,138,l2,7,newton-cg,0.5414866547131993,0.36654
median,138,l2,18,newton-cg,0.5452311939268462,0.32198
median,138,l2,19,saga,0.5597371706928846,0.512532
median,238,,19,newton-cg,0.548806799607715,0.186798
median,138,,4,newton-cg,0.5478321223935259,0.19997
most_frequent,193,,4,newton-cholesky,0.6038798262713314,0.457265
median,138,l2,4,newton-cg,0.5414866547131993,0.330853
most_frequent,233,l2,18,saga,0.5498224864994732,0.85195
median,3,l2,3,newton-cg,0.39805089565121826,0.114046
mean,238,,4,newton-cg,0.548806799607715,0.176968
most_frequent,233,,4,newton-cg,0.548806799607715,0.201409
most_frequent,233,l2,3,saga,0.5498224864994732,0.834317
median,218,,4,newton-cg,0.5476956884966039,0.216461
mean,138,,4,saga,0.5597371706928846,0.49661
most_frequent,233,l2,3,saga,0.5498224864994732,0.844117
most_frequent,233,l2,7,newton-cg,0.5479921366877889,0.403213
most_frequent,233,l2,3,saga,0.5498224864994732,0.872948
median,138,l2,19,saga,0.5597371706928846,0.522021
mean,138,l2,4,newton-cg,0.5414866547131993,0.328407
mean,233,l2,7,newton-cg,0.5479921366877889,0.338761
most_frequent,193,,18,saga,0.5582184764744105,0.701956
most_frequent,193,l2,18,saga,0.5582184764744105,0.726081
most_frequent,233,l2,3,saga,0.5498224864994732,0.851866
most_frequent,233,l2,3,saga,0.5498224864994732,0.816419
mean,138,,4,newton-cg,0.5496839742453777,0.17662
most_frequent,193,,18,saga,0.5582184764744105,0.780993
most_frequent,233,l2,7,saga,0.5498224864994732,0.857913
most_frequent,233,l2,3,saga,0.5498224864994732,0.848219
most_frequent,233,l2,18,saga,0.5498224864994732,0.870712
mean,138,,7,newton-cg,0.5496839742453777,0.186718
median,138,,4,saga,0.5597371706928846,0.505272
most_frequent,233,l2,18,saga,0.5498224864994732,0.841617
most_frequent,233,l2,4,saga,0.5498224864994732,0.888026
most_frequent,233,l2,4,newton-cg,0.5479921366877889,0.369046
mean,233,l2,3,newton-cg,0.5479921366877889,0.340154
most_frequent,138,l2,19,saga,0.56577581803588,0.579361
mean,233,,4,newton-cg,0.548806799607715,0.175463
most_frequent,233,l2,4,saga,0.5498224864994732,0.869451
mean,193,,4,saga,0.5509563123495013,0.671454
most_frequent,138,,4,newton-cholesky,0.6199102370179443,0.505399
most_frequent,233,l2,3,saga,0.5498224864994732,0.854182
mean,193,,4,saga,0.5509563123495013,0.692333
mean,138,,4,newton-cg,0.5496839742453777,0.193877
mean,233,l2,3,saga,0.535141776008649,0.818585
mean,233,l2,3,saga,0.535141776008649,0.804542
most_frequent,233,l2,18,saga,0.5498224864994732,0.849034
mean,138,,3,saga,0.5597371706928846,0.50864
most_frequent,233,l2,3,saga,0.5498224864994732,0.839835
most_frequent,193,,4,newton-cholesky,0.6038798262713314,0.451295
most_frequent,138,,19,saga,0.56577581803588,0.541872
most_frequent,233,,4,saga,0.5498224864994732,0.855465
most_frequent,138,,4,newton-cholesky,0.6199102370179443,0.509356
most_frequent,233,l2,4,saga,0.5498224864994732,0.884203
most_frequent,233,,4,newton-cholesky,0.6067689956504063,0.54437
most_frequent,193,,4,newton-cholesky,0.6038798262713314,0.454703
most_frequent,138,l2,4,newton-cholesky,0.5350147437103959,0.62903
most_frequent,138,,4,newton-cholesky,0.6199102370179443,0.508712
