strategy,k,n_neighbors,weights,algorithm,leaf_size,f1,elapsed_time
most_frequent,203,10,uniform,brute,45,0.37735718606861984,0.102266
most_frequent,113,3,distance,ball_tree,19,0.4702351568255458,0.091076
most_frequent,83,12,,auto,26,0.3799212886327224,0.124078
most_frequent,8,8,,auto,33,0.3875412406971189,0.131108
mean,128,2,,ball_tree,45,0.4170473667549691,0.065474
most_frequent,8,8,,kd_tree,26,0.3875412406971189,0.09654
mean,158,10,distance,auto,22,0.37735718606861984,0.072199
mean,113,17,,auto,16,0.37735718606861984,0.106922
mean,123,10,,kd_tree,45,0.37735718606861984,0.097725
median,243,3,,auto,10,0.4027445156100127,0.10823
mean,203,10,uniform,brute,45,0.37735718606861984,0.067118
median,123,10,,auto,10,0.37735718606861984,0.084667
most_frequent,8,17,,auto,33,0.37735718606861984,0.127167
mean,243,17,,auto,16,0.37735718606861984,0.085613
mean,243,3,,kd_tree,45,0.4027445156100127,0.087183
mean,83,12,,auto,45,0.3799212886327224,0.082044
most_frequent,113,12,,auto,19,0.39511144826732647,0.14423
mean,158,10,uniform,brute,22,0.37735718606861984,0.078898
most_frequent,8,8,,auto,22,0.3875412406971189,0.092914
mean,123,10,distance,auto,22,0.4117392246047217,0.07698
mean,128,2,,kd_tree,45,0.4170473667549691,0.079748
most_frequent,158,10,distance,auto,22,0.37735718606861984,0.120308
most_frequent,83,12,uniform,auto,26,0.3799212886327224,0.119394
mean,113,17,,kd_tree,26,0.37735718606861984,0.060652
mean,128,2,,auto,45,0.4170473667549691,0.080925
median,243,3,,auto,45,0.4027445156100127,0.100497
median,243,3,,auto,10,0.4027445156100127,0.099474
mean,113,17,,auto,26,0.37735718606861984,0.094021
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.127673
most_frequent,8,8,,auto,33,0.3875412406971189,0.090822
most_frequent,8,2,,kd_tree,26,0.3009788905898746,0.091543
mean,158,10,,ball_tree,45,0.37735718606861984,0.060424
most_frequent,8,8,,auto,26,0.3875412406971189,0.093445
most_frequent,8,8,,kd_tree,26,0.3875412406971189,0.11171
mean,123,17,,auto,16,0.37735718606861984,0.090338
most_frequent,8,8,,kd_tree,33,0.3875412406971189,0.12849
mean,158,10,,auto,16,0.37735718606861984,0.07658
most_frequent,128,2,,ball_tree,26,0.4170473667549691,0.135403
mean,123,10,,auto,22,0.37735718606861984,0.088687
mean,128,2,,auto,16,0.4170473667549691,0.108306
mean,128,2,,kd_tree,45,0.4170473667549691,0.09553
most_frequent,203,10,uniform,auto,22,0.37735718606861984,0.10197
mean,113,17,distance,auto,16,0.37735718606861984,0.076702
most_frequent,113,3,,auto,26,0.4526909248429717,0.126864
most_frequent,128,2,,ball_tree,45,0.4170473667549691,0.129699
most_frequent,83,12,,ball_tree,19,0.3799212886327224,0.09475
median,203,3,,auto,10,0.4054388107019686,0.104192
median,243,3,,ball_tree,10,0.4027445156100127,0.106855
most_frequent,8,8,,ball_tree,33,0.3875412406971189,0.09595
median,243,8,,auto,10,0.37735718606861984,0.099168
most_frequent,8,8,,auto,45,0.3875412406971189,0.116007
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.092836
mean,83,12,,auto,26,0.3799212886327224,0.086176
most_frequent,113,17,,ball_tree,33,0.37735718606861984,0.116314
most_frequent,83,12,,kd_tree,45,0.3799212886327224,0.096257
most_frequent,113,3,distance,ball_tree,19,0.4702351568255458,0.088927
mean,128,8,,kd_tree,45,0.37735718606861984,0.061362
median,243,3,,auto,33,0.4027445156100127,0.088088
most_frequent,8,8,,auto,26,0.3875412406971189,0.135156
most_frequent,8,8,,auto,26,0.3875412406971189,0.09872
mean,83,12,,auto,16,0.3799212886327224,0.085808
most_frequent,128,2,,kd_tree,26,0.4170473667549691,0.140312
most_frequent,8,8,,auto,33,0.3875412406971189,0.101523
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.102917
most_frequent,8,8,,auto,33,0.3875412406971189,0.109081
most_frequent,8,3,,ball_tree,45,0.25539404065719856,0.114981
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.141402
median,243,8,,auto,45,0.37735718606861984,0.123009
mean,128,3,,kd_tree,45,0.44698224668984904,0.104022
most_frequent,8,8,distance,ball_tree,19,0.4213955001877707,0.091947
most_frequent,113,3,distance,auto,19,0.4702351568255458,0.117095
most_frequent,113,8,,auto,33,0.4117392246047217,0.16962
most_frequent,8,8,,ball_tree,19,0.3875412406971189,0.119915
mean,113,3,distance,ball_tree,19,0.4873849152796521,0.054883
most_frequent,8,8,,ball_tree,26,0.3875412406971189,0.091775
most_frequent,113,3,,ball_tree,19,0.4526909248429717,0.111223
median,243,8,,auto,45,0.37735718606861984,0.094634
most_frequent,113,8,,auto,33,0.4117392246047217,0.124969
most_frequent,8,8,,ball_tree,26,0.3875412406971189,0.11987
mean,128,2,,ball_tree,33,0.4170473667549691,0.057173
most_frequent,83,12,,kd_tree,45,0.3799212886327224,0.093978
most_frequent,113,3,,auto,26,0.4526909248429717,0.130066
mean,243,3,,auto,45,0.4027445156100127,0.093869
mean,113,17,,auto,16,0.37735718606861984,0.081728
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.124686
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.094523
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.101968
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.099035
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.101574
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.09109
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.096312
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.101928
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.104431
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.10269
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.100151
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.114828
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.111577
most_frequent,113,3,,ball_tree,19,0.4526909248429717,0.121011
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.104454
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.095979
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.10104
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.099066
mean,113,3,distance,ball_tree,19,0.4873849152796521,0.054347
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.094524
most_frequent,113,3,,ball_tree,45,0.4526909248429717,0.101523
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.093508
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.09408
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.092164
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.099732
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.099976
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.091497
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.095018
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.09447
most_frequent,113,3,distance,ball_tree,19,0.4702351568255458,0.088636
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.115979
most_frequent,113,3,distance,ball_tree,19,0.4702351568255458,0.090415
mean,113,3,,ball_tree,45,0.46380203595408276,0.058089
most_frequent,113,3,distance,ball_tree,19,0.4702351568255458,0.091463
most_frequent,113,3,,ball_tree,33,0.4526909248429717,0.098986
most_frequent,113,8,,auto,33,0.4117392246047217,0.118556
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.13291
most_frequent,113,8,,ball_tree,45,0.4117392246047217,0.09503
most_frequent,113,8,,auto,33,0.4117392246047217,0.132696
most_frequent,113,3,distance,ball_tree,33,0.4702351568255458,0.118279
