strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
mean,63,61,7,7,2,0.49578600823045277,0.528422
mean,13,71,12,19,7,0.37735718606861984,0.518114
median,38,66,12,7,7,0.37206618077761455,0.566111
most_frequent,248,71,11,9,5,0.37735718606861984,0.732136
median,218,81,7,14,2,0.4383946190261979,0.835724
median,218,81,10,9,5,0.3775078722447144,0.799943
most_frequent,63,81,11,9,6,0.38007197480881694,0.7293
mean,63,11,10,8,17,0.37735718606861984,0.132956
most_frequent,13,66,12,8,17,0.37735718606861984,0.505346
median,223,81,10,8,9,0.37735718606861984,0.720357
most_frequent,223,81,10,8,6,0.38029663345251163,0.797405
most_frequent,223,81,10,8,6,0.38029663345251163,0.784571
mean,63,61,7,8,6,0.3749151836266174,0.516616
most_frequent,223,81,10,9,6,0.38029663345251163,0.790917
mean,63,61,7,8,6,0.3749151836266174,0.488811
most_frequent,223,81,10,8,6,0.38029663345251163,0.7807
mean,223,81,12,19,7,0.38029663345251163,0.732882
median,223,81,7,19,9,0.37735718606861984,0.681599
mean,223,81,10,8,7,0.38029663345251163,0.739608
mean,223,81,12,19,7,0.38029663345251163,0.730724
mean,63,61,7,14,2,0.48412608920211253,0.527102
most_frequent,223,81,10,9,5,0.3948867896236317,0.85635
most_frequent,13,71,12,19,6,0.37735718606861984,0.55831
most_frequent,223,81,11,8,6,0.38029663345251163,0.785032
most_frequent,223,81,11,19,6,0.38029663345251163,0.766143
mean,223,81,10,19,7,0.38029663345251163,0.729373
mean,63,61,7,19,7,0.37206618077761455,0.480995
most_frequent,223,71,12,8,6,0.397675550831429,0.717751
most_frequent,223,71,11,9,5,0.3948225264014738,0.735274
most_frequent,223,81,10,8,6,0.38029663345251163,0.81781
mean,223,81,10,8,6,0.397675550831429,0.748554
mean,13,71,10,9,5,0.37735718606861984,0.495393
most_frequent,223,81,10,8,6,0.38029663345251163,0.796045
most_frequent,223,81,7,14,2,0.4130968065938826,0.829038
most_frequent,63,61,7,7,2,0.48570053814498265,0.566208
most_frequent,223,81,10,8,6,0.38029663345251163,0.808996
mean,13,81,12,19,7,0.37735718606861984,0.570593
most_frequent,223,81,10,8,6,0.38029663345251163,0.804244
most_frequent,223,81,10,8,6,0.38029663345251163,0.787919
mean,63,61,7,14,2,0.48412608920211253,0.526031
mean,63,81,11,7,2,0.47925279485513406,0.725614
most_frequent,223,81,10,9,6,0.38029663345251163,0.86454
most_frequent,63,61,7,8,6,0.3749151836266174,0.575659
mean,63,61,7,19,9,0.37735718606861984,0.490131
most_frequent,223,81,10,8,6,0.38029663345251163,0.806731
most_frequent,223,81,10,8,6,0.38029663345251163,0.798355
