strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
median,218,81,8,18,19,0.37735718606861984,0.64936
mean,63,61,7,14,2,0.48412608920211253,0.542963
median,53,66,12,7,12,0.37735718606861984,0.538193
most_frequent,83,26,1,16,5,0.37206618077761455,0.256791
most_frequent,248,11,10,8,17,0.37735718606861984,0.167444
median,38,71,8,19,9,0.37206618077761455,0.556999
most_frequent,238,41,17,18,3,0.39432769959085745,0.479238
mean,13,61,14,8,7,0.37735718606861984,0.446277
mean,138,91,16,8,7,0.37735718606861984,0.838912
most_frequent,223,71,11,9,6,0.397675550831429,0.709968
most_frequent,83,11,10,8,17,0.37735718606861984,0.160178
most_frequent,238,41,8,19,9,0.37735718606861984,0.421457
mean,138,91,16,9,7,0.37735718606861984,0.824595
median,53,11,10,7,12,0.37735718606861984,0.133817
median,248,11,8,19,9,0.37735718606861984,0.157176
mean,13,66,12,7,7,0.37735718606861984,0.468861
median,53,71,12,7,12,0.37735718606861984,0.541072
median,38,71,12,19,9,0.37206618077761455,0.52846
most_frequent,138,91,16,8,7,0.37735718606861984,0.877481
median,38,71,12,7,9,0.37206618077761455,0.535584
median,138,91,12,7,12,0.37735718606861984,0.757336
mean,138,91,11,8,7,0.37735718606861984,0.814878
most_frequent,248,11,10,7,17,0.37735718606861984,0.164212
mean,13,61,7,14,2,0.40537883169462113,0.462379
mean,248,11,10,8,2,0.4712109231748185,0.162369
most_frequent,13,61,1,16,5,0.37735718606861984,0.441408
most_frequent,223,71,11,9,5,0.3948225264014738,0.742404
most_frequent,83,11,10,8,17,0.37735718606861984,0.193526
mean,13,61,14,14,7,0.37735718606861984,0.450597
median,138,91,16,19,9,0.37735718606861984,0.837772
most_frequent,238,41,8,18,3,0.39432769959085745,0.481625
median,38,71,11,9,9,0.37206618077761455,0.53134
mean,13,61,17,8,7,0.37735718606861984,0.428447
most_frequent,238,71,11,9,6,0.37735718606861984,0.757582
median,53,66,1,16,12,0.37735718606861984,0.456455
most_frequent,248,41,17,18,3,0.4200120053219468,0.477775
most_frequent,223,66,11,9,6,0.39229410100553475,0.675374
median,218,81,10,8,19,0.37735718606861984,0.679434
mean,83,61,14,8,7,0.38944509815653194,0.523019
most_frequent,13,61,14,8,17,0.37735718606861984,0.466879
mean,83,61,14,8,7,0.38944509815653194,0.563751
median,38,71,8,8,9,0.37206618077761455,0.522604
most_frequent,223,81,11,9,6,0.38029663345251163,0.810225
median,53,71,8,7,12,0.37735718606861984,0.543987
most_frequent,223,71,11,9,7,0.38029663345251163,0.673947
most_frequent,223,11,10,8,17,0.37735718606861984,0.161125
mean,63,81,7,14,2,0.46783279185618365,0.705804
most_frequent,223,11,11,9,6,0.38029663345251163,0.179025
most_frequent,248,11,10,8,9,0.37735718606861984,0.182126
mean,38,66,12,7,7,0.37206618077761455,0.519958
most_frequent,83,71,11,9,17,0.37735718606861984,0.566111
most_frequent,223,71,11,9,6,0.397675550831429,0.693856
mean,13,11,12,7,7,0.3826905194019531,0.119158
most_frequent,83,81,10,8,17,0.37735718606861984,0.625978
mean,38,71,12,19,7,0.37206618077761455,0.533856
most_frequent,248,11,10,8,17,0.37735718606861984,0.165162
most_frequent,83,11,10,8,17,0.37735718606861984,0.160396
mean,13,71,12,19,7,0.37735718606861984,0.500463
most_frequent,248,11,11,9,6,0.37735718606861984,0.189
most_frequent,223,81,10,8,6,0.38029663345251163,0.782917
most_frequent,248,11,10,8,17,0.37735718606861984,0.167677
median,38,11,10,8,9,0.3696241783356121,0.146282
most_frequent,83,11,10,8,17,0.37735718606861984,0.18733
median,223,81,11,19,9,0.37735718606861984,0.726791
most_frequent,223,81,10,9,5,0.3948867896236317,0.829745
median,13,66,10,8,19,0.37735718606861984,0.461255
most_frequent,248,11,11,8,17,0.37735718606861984,0.166503
mean,13,66,10,8,7,0.37735718606861984,0.478019
most_frequent,83,61,7,14,2,0.4532094338410128,0.605179
median,248,11,10,8,19,0.37735718606861984,0.142869
