strategy,k,n_estimators,learning_rate,f1,elapsed_time
most_frequent,273,21,6,0.040852130325814535,0.548048
most_frequent,243,11,73,0.1037737317149082,0.247296
mean,253,81,56,0.10561089333019158,1.615819
mean,188,1,12,0.38576625975939477,0.070146
mean,123,1,65,0.38576625975939477,0.068336
most_frequent,43,51,92,0.2644447742273829,0.111897
most_frequent,78,81,1,0.38192568468110266,1.14763
mean,133,16,15,0.02745230078563412,0.330825
most_frequent,23,6,33,0.1751991088833194,0.151944
mean,158,16,45,0.0290264877880977,0.402245
mean,133,21,6,0.04216791979949874,0.451939
most_frequent,123,1,65,0.38576625975939477,0.107048
mean,23,6,45,0.11467836257309942,0.107937
mean,188,1,12,0.38576625975939477,0.072995
most_frequent,273,1,6,0.38576625975939477,0.111066
mean,158,16,15,0.008994708994708995,0.375421
most_frequent,158,16,92,0.2644447742273829,0.206938
most_frequent,133,11,73,0.1037737317149082,0.210753
most_frequent,23,16,33,0.06986836425432916,0.240912
most_frequent,188,1,73,0.38576625975939477,0.107807
mean,253,81,1,0.3983534544422058,1.86399
mean,123,11,65,0.0297381798723388,0.217042
mean,123,81,65,0.14867069634871494,1.228512
most_frequent,78,81,73,0.13710706504824155,0.426479
mean,188,1,12,0.38576625975939477,0.073081
most_frequent,253,81,6,0.030136206529395387,1.915768
most_frequent,43,51,92,0.2644447742273829,0.120571
mean,123,21,65,0.15011369779171638,0.359771
mean,188,51,92,0.275555885338494,0.419558
most_frequent,23,6,73,0.21420599218844835,0.127253
mean,123,6,65,0.0297381798723388,0.144241
most_frequent,78,51,92,0.275555885338494,0.137006
mean,158,11,73,0.1037737317149082,0.220418
most_frequent,243,6,33,0.10374825953773321,0.270521
mean,123,6,65,0.0297381798723388,0.171133
mean,133,11,15,0.11113060428849901,0.252257
most_frequent,43,51,65,0.028888888888888888,0.404914
mean,273,21,6,0.040852130325814535,0.536208
most_frequent,243,21,73,0.1037737317149082,0.409445
most_frequent,123,1,6,0.38576625975939477,0.102236
most_frequent,243,6,73,0.09266262060379708,0.175701
mean,158,16,45,0.0290264877880977,0.409137
most_frequent,273,21,6,0.040852130325814535,0.582921
mean,158,16,15,0.008994708994708995,0.358707
mean,158,11,45,0.02327485380116959,0.263638
