strategy,k,penalty,c,solver,f1,elapsed_time
mean,13,l2,12,saga,0.48144419018560897,0.113855
median,78,l2,1,newton-cg,0.5307885876306929,0.223361
most_frequent,278,l2,17,sag,0.5623521767381418,0.846606
median,3,l2,7,newton-cholesky,0.39805089565121826,0.17226
median,128,,4,saga,0.5388711240068533,0.549336
most_frequent,218,,3,newton-cg,0.5512090833143465,0.219996
median,218,l2,13,newton-cholesky,0.5327239596575982,1.13348
most_frequent,158,l2,2,saga,0.549485751415576,0.626434
mean,133,l2,12,sag,0.5398935965297522,0.395294
median,233,,12,newton-cholesky,0.5958268254099904,0.520928
most_frequent,218,,3,newton-cholesky,0.6128076429934015,0.50135
mean,278,l2,12,saga,0.535141776008649,0.956061
most_frequent,158,,2,saga,0.549485751415576,0.604948
most_frequent,218,l2,13,sag,0.5644574398960365,0.69076
median,78,,4,saga,0.4971189981204788,0.315443
most_frequent,218,l2,12,newton-cg,0.5522778509735031,0.364552
most_frequent,158,l2,2,saga,0.549485751415576,0.645164
most_frequent,158,,2,saga,0.549485751415576,0.603761
most_frequent,278,l2,13,newton-cholesky,0.5284382453718839,2.45999
mean,78,l2,12,saga,0.5171189981204789,0.319422
median,133,l2,12,newton-cholesky,0.5343338143338143,0.628757
mean,133,l2,12,sag,0.5398935965297522,0.397036
most_frequent,158,l2,12,saga,0.549485751415576,0.603849
mean,278,l2,17,sag,0.5489344062059098,0.754242
median,78,l2,1,newton-cg,0.5307885876306929,0.221991
mean,128,l2,12,sag,0.5388711240068533,0.389858
mean,133,l2,12,saga,0.5373827079776736,0.507854
median,128,,12,saga,0.5388711240068533,0.496546
most_frequent,128,,17,sag,0.5388711240068533,0.46179
median,13,l2,12,saga,0.48144419018560897,0.133703
median,13,l2,12,saga,0.48144419018560897,0.127947
median,218,,7,newton-cholesky,0.599340220227733,0.517016
most_frequent,218,l2,12,saga,0.5498224864994732,0.838128
median,13,l2,12,newton-cholesky,0.4750908012235243,0.190403
mean,133,l2,7,newton-cholesky,0.5343338143338143,0.601481
median,13,l2,7,newton-cholesky,0.48308801208114704,0.194612
median,218,l2,13,saga,0.5330365128507543,0.779986
median,218,l2,13,sag,0.554973053548905,0.629988
median,158,l2,2,newton-cg,0.5294298548303125,0.305954
most_frequent,218,l2,3,newton-cg,0.5522778509735031,0.386169
median,233,l2,12,saga,0.5330365128507543,0.830276
mean,3,l2,12,saga,0.40064358426931523,0.078055
most_frequent,278,l2,2,saga,0.5498224864994732,1.00444
median,233,l2,12,newton-cholesky,0.5246243628394659,1.501576
most_frequent,78,l2,2,saga,0.5061095573071165,0.355437
mean,133,l2,7,sag,0.5398935965297522,0.389187
median,128,,3,newton-cg,0.5186017479825529,0.206297
median,218,,3,newton-cg,0.5476956884966039,0.220129
median,133,l2,13,sag,0.5398935965297522,0.423927
most_frequent,158,l2,12,newton-cholesky,0.5170713344626389,0.726119
most_frequent,133,l2,12,saga,0.5376472582422238,0.511816
most_frequent,233,,12,saga,0.5498224864994732,0.856834
median,233,,12,newton-cholesky,0.5958268254099904,0.521131
median,133,l2,12,saga,0.5355308561258216,0.48813
most_frequent,218,l2,13,newton-cholesky,0.5327239596575982,1.171418
mean,133,,12,saga,0.5373827079776736,0.47561
median,218,l2,12,newton-cholesky,0.5289100771251801,1.147002
mean,158,l2,2,saga,0.5422235872906668,0.573936
most_frequent,133,l2,12,sag,0.542856559492715,0.463552
most_frequent,218,l2,13,sag,0.5644574398960365,0.707009
median,133,l2,12,sag,0.5398935965297522,0.415173
median,133,l2,12,newton-cholesky,0.5343338143338143,0.630214
most_frequent,158,l2,13,sag,0.5389594356261023,0.487886
most_frequent,218,l2,12,sag,0.5644574398960365,0.639127
median,133,l2,12,saga,0.5355308561258216,0.490644
median,133,l2,12,newton-cholesky,0.5343338143338143,0.642441
median,233,l2,12,newton-cholesky,0.5246243628394659,1.560963
most_frequent,233,,12,saga,0.5498224864994732,0.852888
most_frequent,233,,12,saga,0.5498224864994732,0.870641
mean,133,l2,12,sag,0.5398935965297522,0.409582
most_frequent,218,l2,2,saga,0.5461914044370185,0.7728
most_frequent,218,l2,12,saga,0.5498224864994732,0.785142
most_frequent,218,l2,12,sag,0.5644574398960365,0.647871
median,133,l2,12,newton-cholesky,0.5343338143338143,0.686125
median,158,,12,newton-cholesky,0.6046693222589485,0.447435
mean,233,,12,saga,0.535141776008649,0.804513
median,133,l2,12,newton-cholesky,0.5343338143338143,0.711155
mean,133,l2,12,newton-cholesky,0.5343338143338143,0.669933
most_frequent,218,,12,newton-cholesky,0.6128076429934015,0.555828
most_frequent,218,l2,12,sag,0.5644574398960365,0.662093
mean,158,,12,saga,0.5422235872906668,0.571514
median,218,l2,13,newton-cholesky,0.5327239596575982,1.360528
most_frequent,233,,12,newton-cholesky,0.6067689956504063,0.644082
most_frequent,218,l2,2,saga,0.5461914044370185,0.814282
median,233,,12,newton-cholesky,0.5958268254099904,0.563092
median,158,,12,newton-cholesky,0.6046693222589485,0.455901
most_frequent,233,,12,saga,0.5498224864994732,0.836399
most_frequent,218,l2,13,newton-cholesky,0.5327239596575982,1.282889
most_frequent,218,l2,12,newton-cholesky,0.5289100771251801,1.353274
median,233,,12,newton-cholesky,0.5958268254099904,0.562332
most_frequent,233,,12,saga,0.5498224864994732,0.849346
median,233,,12,saga,0.5330365128507543,0.79779
mean,233,,12,sag,0.5489344062059098,0.633975
mean,158,l2,12,newton-cholesky,0.5170713344626389,0.696519
most_frequent,233,,13,sag,0.5601299545159195,0.674949
median,233,,12,newton-cholesky,0.5958268254099904,0.535182
most_frequent,218,,12,newton-cholesky,0.6128076429934015,0.524601
most_frequent,218,,12,sag,0.5622352176738142,0.634319
median,218,,12,newton-cholesky,0.599340220227733,0.484036
mean,158,l2,2,sag,0.5316972715011931,0.458983
mean,218,l2,2,saga,0.535141776008649,0.732405
median,233,,12,newton-cholesky,0.5958268254099904,0.53629
median,233,,12,newton-cholesky,0.5958268254099904,0.534228
mean,133,,12,sag,0.5398935965297522,0.396032
