strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
median,243,86,16,7,7,0.39511144826732647,0.803252
median,243,86,16,7,15,0.37735718606861984,0.693657
median,243,86,14,7,7,0.39511144826732647,0.805408
median,243,86,14,3,7,0.39511144826732647,0.795591
mean,3,71,16,16,5,0.37735718606861984,0.479846
median,243,86,16,16,7,0.37735718606861984,0.79046
most_frequent,168,61,14,3,15,0.37735718606861984,0.537048
most_frequent,168,61,14,3,8,0.38029663345251163,0.589874
median,243,86,14,3,8,0.37735718606861984,0.78655
median,243,86,16,7,7,0.39511144826732647,0.823985
median,243,86,14,16,7,0.37735718606861984,0.815007
most_frequent,168,11,14,3,8,0.3922143289257627,0.186872
median,128,16,16,7,15,0.37735718606861984,0.178495
most_frequent,168,11,14,3,8,0.3922143289257627,0.176553
median,243,86,16,7,7,0.39511144826732647,0.819444
mean,3,61,14,3,8,0.37735718606861984,0.425683
most_frequent,168,61,14,3,8,0.38029663345251163,0.643485
most_frequent,168,61,11,3,8,0.38029663345251163,0.59487
most_frequent,243,86,14,3,8,0.37735718606861984,0.846623
median,243,86,14,3,8,0.37735718606861984,0.787215
most_frequent,168,61,14,3,8,0.38029663345251163,0.597583
median,243,86,16,7,7,0.39511144826732647,0.818125
