strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
most_frequent,238,1,18,10,7,0.37283057649190376,0.096142
most_frequent,168,61,7,3,15,0.37735718606861984,0.54266
median,203,71,11,10,7,0.37735718606861984,0.689365
median,128,16,12,17,15,0.37735718606861984,0.18004
most_frequent,268,91,11,3,8,0.37735718606861984,0.866624
mean,23,11,14,8,12,0.37735718606861984,0.120039
mean,3,1,9,16,5,0.37735718606861984,0.0585
median,158,81,3,7,6,0.37735718606861984,0.667723
median,243,86,16,7,7,0.39511144826732647,0.792372
mean,213,21,15,8,14,0.37735718606861984,0.237164
median,158,81,12,7,6,0.38029663345251163,0.791867
mean,3,71,11,16,5,0.37735718606861984,0.494611
median,158,61,7,7,6,0.38029663345251163,0.599164
median,203,71,11,17,7,0.37735718606861984,0.680416
most_frequent,238,91,18,10,7,0.37735718606861984,0.881539
median,203,61,7,10,7,0.37735718606861984,0.56693
mean,3,1,9,16,15,0.37735718606861984,0.06489
most_frequent,238,1,18,3,7,0.37283057649190376,0.101975
most_frequent,238,21,18,10,7,0.37206618077761455,0.282095
mean,238,21,15,8,14,0.37735718606861984,0.212844
mean,23,61,14,8,12,0.37735718606861984,0.435077
mean,213,81,3,8,14,0.37735718606861984,0.6162
median,128,16,12,17,15,0.37735718606861984,0.172254
median,168,86,16,7,7,0.37735718606861984,0.788733
most_frequent,268,91,11,3,8,0.37735718606861984,0.863706
median,128,1,18,10,15,0.37763639868903026,0.067007
mean,23,91,11,3,12,0.37735718606861984,0.661096
most_frequent,158,61,7,3,15,0.37735718606861984,0.528348
most_frequent,23,11,14,8,12,0.37735718606861984,0.152726
mean,168,61,7,3,15,0.37735718606861984,0.482388
mean,3,1,16,7,7,0.37735718606861984,0.057117
mean,3,1,11,10,7,0.37735718606861984,0.05639
most_frequent,23,11,14,3,8,0.39238454554042373,0.163529
mean,3,1,9,7,6,0.37735718606861984,0.057647
most_frequent,203,71,11,3,8,0.37735718606861984,0.691961
mean,3,1,9,7,6,0.37735718606861984,0.057759
mean,23,71,11,10,7,0.3799498746867168,0.540007
median,243,86,16,7,6,0.37206618077761455,0.847257
median,128,16,12,7,7,0.3749151836266174,0.19121
mean,3,86,16,7,5,0.37735718606861984,0.560903
median,128,16,18,10,7,0.3749151836266174,0.208196
median,168,61,7,10,7,0.38029663345251163,0.626756
median,203,91,11,10,7,0.37735718606861984,0.854446
median,128,1,18,10,7,0.3755860527185392,0.071372
median,3,1,9,16,5,0.37735718606861984,0.081536
mean,23,1,9,16,5,0.36961351189421365,0.061654
most_frequent,3,71,11,16,5,0.37735718606861984,0.545778
median,168,61,7,3,15,0.37735718606861984,0.496503
median,243,86,16,7,7,0.39511144826732647,0.817271
median,128,16,11,16,15,0.37735718606861984,0.180654
mean,213,16,12,8,14,0.37735718606861984,0.185589
median,243,86,16,8,14,0.37735718606861984,0.706422
median,128,16,12,17,7,0.3749151836266174,0.206081
median,168,61,11,10,7,0.38029663345251163,0.567106
median,168,16,12,17,15,0.37735718606861984,0.192648
median,168,61,7,10,7,0.38029663345251163,0.568594
most_frequent,23,61,7,3,8,0.37735718606861984,0.496483
median,168,61,7,3,15,0.37735718606861984,0.487665
mean,23,21,15,8,12,0.37735718606861984,0.181521
most_frequent,213,21,7,3,15,0.37735718606861984,0.239056
mean,168,61,7,16,5,0.39229410100553475,0.549546
mean,23,11,7,8,12,0.37735718606861984,0.133158
median,23,16,12,17,15,0.37735718606861984,0.162066
median,243,61,7,10,7,0.39511144826732647,0.577134
median,3,71,11,16,15,0.37735718606861984,0.476346
median,3,86,16,7,7,0.37735718606861984,0.61073
mean,168,61,16,7,15,0.37735718606861984,0.496498
mean,128,16,12,17,15,0.37735718606861984,0.173811
mean,168,61,7,10,7,0.38029663345251163,0.564264
mean,168,61,11,16,5,0.39229410100553475,0.59733
median,3,71,11,16,7,0.37735718606861984,0.476857
mean,243,86,16,8,12,0.37735718606861984,0.731468
most_frequent,168,61,14,3,8,0.38029663345251163,0.599937
mean,3,11,14,16,5,0.37735718606861984,0.116473
most_frequent,23,11,14,8,8,0.39238454554042373,0.158057
median,23,11,16,7,7,0.4129878105881333,0.141522
median,3,71,16,7,7,0.37735718606861984,0.491665
most_frequent,168,61,7,3,14,0.37735718606861984,0.521798
median,168,11,14,10,7,0.42203796290345996,0.162579
median,168,61,7,8,7,0.38029663345251163,0.550907
most_frequent,23,11,14,16,5,0.4464155735968601,0.161195
median,243,86,16,3,7,0.39511144826732647,0.838908
median,243,61,14,7,7,0.39511144826732647,0.591405
most_frequent,23,11,14,3,8,0.39238454554042373,0.157456
most_frequent,3,71,11,16,5,0.37735718606861984,0.524059
median,128,16,12,7,7,0.3749151836266174,0.203209
median,3,16,12,17,15,0.37735718606861984,0.160957
median,128,71,11,17,15,0.37735718606861984,0.602811
mean,3,71,14,3,8,0.37735718606861984,0.468434
most_frequent,23,86,16,7,8,0.37735718606861984,0.665611
median,243,86,11,7,7,0.39511144826732647,0.799982
median,243,86,11,7,7,0.39511144826732647,0.787158
most_frequent,128,16,12,17,8,0.38029663345251163,0.21164
median,23,11,16,7,7,0.4129878105881333,0.130202
median,243,86,16,16,7,0.37735718606861984,0.818753
