strategy,k,penalty,c,solver,f1,elapsed_time
most_frequent,38,,6,saga,0.4638659670696283,0.247666
most_frequent,93,,9,saga,0.5254032742675403,0.402844
most_frequent,163,,19,newton-cholesky,0.4857854934320091,0.568597
median,8,l2,8,saga,0.4464118790307451,0.106973
median,113,,3,sag,0.536368059969168,0.349971
most_frequent,168,l2,14,newton-cholesky,0.5080970542297774,0.767575
median,268,,8,newton-cg,0.4605040378724589,0.185453
median,233,l2,9,newton-cholesky,0.4905010219884362,1.475286
mean,178,l2,9,newton-cg,0.5214749213833882,0.365984
most_frequent,113,,14,newton-cg,0.5178682751535937,0.213718
median,163,,19,newton-cg,0.46326628537154857,0.182462
median,178,l2,9,saga,0.5048508079467833,0.618966
median,8,l2,8,sag,0.46109214897315576,0.098064
median,168,l2,14,newton-cg,0.5319280414474923,0.421513
most_frequent,163,l2,19,newton-cholesky,0.5089906584643427,0.748936
mean,178,l2,9,newton-cg,0.5214749213833882,0.360984
most_frequent,38,,14,newton-cg,0.47241242837734065,2.055003
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.329556
most_frequent,93,,9,newton-cholesky,0.5113180986515217,0.331706
median,8,l2,3,sag,0.442595453909972,0.098808
most_frequent,163,,8,newton-cholesky,0.4857854934320091,0.514117
most_frequent,8,,6,saga,0.4464118790307451,0.133367
median,113,l2,9,newton-cholesky,0.505938934894734,0.491961
most_frequent,113,,6,newton-cg,0.5178682751535937,0.214623
most_frequent,113,,3,sag,0.5398768318989926,0.389919
median,233,l2,9,newton-cholesky,0.4905010219884362,1.600985
median,113,,3,saga,0.5437754673765754,0.421544
median,8,,3,sag,0.4512400043384025,0.106246
median,113,,8,sag,0.536368059969168,0.356196
most_frequent,8,l2,8,saga,0.4464118790307451,0.137256
most_frequent,268,,19,newton-cholesky,0.48147972269855926,0.635531
most_frequent,113,,14,newton-cg,0.5178682751535937,0.210308
median,113,,6,saga,0.5437754673765754,0.419476
most_frequent,38,,9,newton-cg,0.47241242837734065,1.90931
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.326654
most_frequent,168,,14,newton-cholesky,0.46467852638131274,0.599451
most_frequent,178,l2,9,newton-cg,0.5287599873641063,0.394214
most_frequent,268,l2,14,newton-cholesky,0.4905010219884362,2.237122
median,268,l2,8,newton-cg,0.5115633836457635,0.449733
most_frequent,168,,8,newton-cg,0.4519353940406572,0.226907
most_frequent,38,,6,saga,0.4638659670696283,0.234039
most_frequent,163,,9,newton-cholesky,0.4857854934320091,0.59021
median,8,l2,14,saga,0.4464118790307451,0.113735
median,113,,14,newton-cg,0.5178682751535937,0.185637
median,8,l2,14,newton-cholesky,0.4765981933991087,0.176235
mean,178,l2,9,newton-cg,0.5214749213833882,0.403677
most_frequent,178,l2,9,saga,0.5048508079467833,0.667064
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.335626
most_frequent,113,l2,9,newton-cg,0.5341052015193891,0.357847
most_frequent,178,l2,9,newton-cg,0.5287599873641063,0.388307
most_frequent,178,l2,9,saga,0.5048508079467833,0.646214
median,178,l2,9,newton-cg,0.5287599873641063,0.33427
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.324217
mean,178,,9,newton-cg,0.4712273287277361,0.210072
median,178,l2,14,newton-cg,0.5287599873641063,0.473464
most_frequent,113,,14,newton-cg,0.5178682751535937,0.21704
median,178,l2,9,newton-cg,0.5287599873641063,0.353518
mean,178,,9,saga,0.5048508079467833,0.61254
median,178,l2,9,saga,0.5048508079467833,0.619493
mean,178,l2,9,newton-cg,0.5214749213833882,0.36977
mean,178,,9,newton-cg,0.4712273287277361,0.192341
median,178,l2,9,newton-cg,0.5287599873641063,0.422694
median,168,l2,14,newton-cg,0.5319280414474923,0.413636
most_frequent,113,,9,saga,0.5437754673765754,0.452479
most_frequent,178,l2,9,newton-cg,0.5287599873641063,0.391079
median,168,l2,14,newton-cg,0.5319280414474923,0.421689
most_frequent,93,l2,9,saga,0.5254032742675403,0.4246
median,178,l2,9,newton-cg,0.5287599873641063,0.343557
most_frequent,113,l2,9,newton-cg,0.5341052015193891,0.372985
mean,113,,14,newton-cg,0.5221010793863979,0.183258
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.322311
median,178,l2,9,saga,0.5048508079467833,0.638582
mean,178,l2,14,newton-cg,0.5085119584204253,0.385561
mean,113,l2,9,newton-cg,0.5530306650985923,0.315754
mean,113,l2,9,newton-cg,0.5530306650985923,0.313636
mean,93,,9,newton-cg,0.5429335320872989,0.181896
mean,178,,9,newton-cg,0.4712273287277361,0.170509
median,168,l2,14,newton-cg,0.5319280414474923,0.381006
most_frequent,178,l2,9,newton-cg,0.5287599873641063,0.385336
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.331771
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.339392
most_frequent,168,l2,9,newton-cg,0.5316791759812356,0.414917
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.365544
median,168,l2,14,newton-cg,0.5319280414474923,0.382854
median,178,l2,9,newton-cg,0.5287599873641063,0.343292
median,178,l2,9,newton-cg,0.5287599873641063,0.337221
most_frequent,113,,9,newton-cg,0.5178682751535937,0.295004
median,178,l2,14,newton-cg,0.5287599873641063,0.36927
most_frequent,178,l2,9,newton-cg,0.5287599873641063,0.37742
median,168,l2,14,newton-cg,0.5319280414474923,0.394427
median,113,l2,14,newton-cg,0.5530306650985923,0.307885
most_frequent,178,l2,14,newton-cg,0.5287599873641063,0.388796
median,113,,9,newton-cg,0.5178682751535937,0.206242
most_frequent,178,l2,9,newton-cg,0.5287599873641063,0.396124
most_frequent,178,l2,14,newton-cg,0.5287599873641063,0.384665
median,178,,9,newton-cg,0.4712273287277361,0.182356
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.336233
most_frequent,178,l2,14,newton-cg,0.5287599873641063,0.369943
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.328389
most_frequent,113,l2,9,newton-cg,0.5341052015193891,0.344614
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.321082
median,168,l2,14,newton-cg,0.5319280414474923,0.376443
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.323103
most_frequent,178,l2,9,newton-cg,0.5287599873641063,0.398333
most_frequent,113,,14,newton-cg,0.5178682751535937,0.208441
most_frequent,113,l2,9,newton-cg,0.5341052015193891,0.340873
median,168,l2,14,newton-cg,0.5319280414474923,0.370533
median,168,l2,14,newton-cg,0.5319280414474923,0.37854
most_frequent,113,l2,9,newton-cg,0.5341052015193891,0.338691
most_frequent,113,,9,saga,0.5437754673765754,0.475107
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.333845
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.34634
most_frequent,168,l2,9,newton-cg,0.5316791759812356,0.402084
most_frequent,113,,9,newton-cg,0.5178682751535937,0.226355
median,168,l2,9,newton-cg,0.5319280414474923,0.368521
most_frequent,113,l2,14,newton-cg,0.5530306650985923,0.31731
