strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
most_frequent,98,6,18,16,13,0.38174067647751864,0.136377
most_frequent,8,6,16,5,7,0.3961168352981218,0.137663
mean,183,51,16,9,16,0.37836257309941523,0.419694
median,148,31,4,3,8,0.42738351100924205,0.294263
most_frequent,148,36,5,12,19,0.37836257309941523,0.336533
most_frequent,8,31,3,6,7,0.37836257309941523,0.264073
most_frequent,233,96,18,8,3,0.44121724063244533,1.044138
median,193,16,19,7,6,0.41333295251423907,0.197922
mean,73,61,16,17,7,0.4263578699836009,0.49956
most_frequent,173,31,14,12,11,0.37836257309941523,0.32763
most_frequent,233,96,18,17,7,0.3961168352981218,0.885442
mean,73,61,16,8,3,0.44599623465120536,0.562016
most_frequent,98,96,18,8,3,0.44599623465120536,0.933766
median,73,61,16,7,6,0.4307851299664165,0.561163
median,148,31,4,3,11,0.3924131315944181,0.303544
median,148,31,18,16,8,0.42738351100924205,0.344362
mean,148,61,16,17,7,0.4374689810947121,0.607906
most_frequent,8,6,16,6,7,0.3961168352981218,0.129942
most_frequent,148,6,16,5,7,0.39824746100769487,0.144048
most_frequent,8,6,18,8,7,0.3961168352981218,0.131507
most_frequent,148,36,4,3,19,0.37836257309941523,0.352113
most_frequent,173,31,18,12,11,0.37836257309941523,0.370545
most_frequent,233,96,18,8,19,0.37836257309941523,0.758497
median,148,31,18,3,8,0.42738351100924205,0.313407
most_frequent,183,51,16,9,13,0.37836257309941523,0.468561
mean,73,61,16,12,7,0.4192118472820227,0.519888
most_frequent,98,6,18,16,19,0.37836257309941523,0.134733
median,8,31,3,6,7,0.37836257309941523,0.253737
most_frequent,8,96,18,8,3,0.39905628268201365,0.714025
median,183,51,4,3,8,0.40858009220582325,0.434792
most_frequent,233,96,16,5,3,0.46494073740857367,1.071895
most_frequent,233,96,18,5,7,0.3961168352981218,0.958664
most_frequent,98,51,16,9,16,0.37836257309941523,0.454716
most_frequent,98,6,18,16,13,0.38174067647751864,0.159247
mean,73,61,16,9,16,0.37836257309941523,0.450228
most_frequent,148,36,5,12,19,0.37836257309941523,0.328431
most_frequent,173,61,16,17,7,0.41333295251423907,0.609952
most_frequent,148,36,5,5,19,0.37836257309941523,0.351254
most_frequent,98,6,18,5,13,0.38174067647751864,0.133667
most_frequent,148,16,19,7,19,0.37836257309941523,0.212182
mean,73,61,16,5,7,0.4192118472820227,0.532996
median,148,31,4,3,8,0.42738351100924205,0.294089
most_frequent,173,31,14,5,7,0.41333295251423907,0.357858
most_frequent,98,61,16,16,13,0.37836257309941523,0.508167
most_frequent,148,36,5,17,19,0.37836257309941523,0.330572
median,148,31,18,3,8,0.42738351100924205,0.318344
most_frequent,233,96,18,8,3,0.44121724063244533,1.056418
median,148,31,18,3,8,0.42738351100924205,0.313221
median,233,96,18,8,6,0.39905628268201365,0.952373
most_frequent,73,61,16,8,3,0.44599623465120536,0.707789
median,148,31,18,8,8,0.42738351100924205,0.320686
most_frequent,98,6,18,5,3,0.4431998800419853,0.143976
most_frequent,233,96,18,8,3,0.44121724063244533,1.066535
mean,73,61,16,17,6,0.4398702834960145,0.53124
most_frequent,233,96,18,8,3,0.44121724063244533,1.047272
most_frequent,233,96,18,8,3,0.44121724063244533,1.049456
mean,233,96,18,8,3,0.44121724063244533,1.078576
most_frequent,233,96,18,8,3,0.44121724063244533,1.183544
median,148,31,18,3,8,0.42738351100924205,0.354738
most_frequent,233,96,18,17,3,0.40017327268789255,1.26017
mean,73,61,16,3,8,0.4263578699836009,0.546989
mean,73,61,16,8,3,0.44599623465120536,0.623427
most_frequent,233,96,18,5,3,0.46494073740857367,1.135517
most_frequent,233,96,18,8,3,0.44121724063244533,1.095233
most_frequent,233,96,18,8,3,0.44121724063244533,1.085775
most_frequent,233,96,18,5,3,0.46494073740857367,1.072586
most_frequent,233,96,18,8,3,0.44121724063244533,1.107301
most_frequent,73,61,16,7,6,0.4307851299664165,0.572123
most_frequent,148,31,18,8,3,0.41679652597781247,0.419825
mean,73,96,16,17,7,0.42069965988094643,0.803807
most_frequent,233,31,4,3,8,0.3765401157214023,0.33612
median,233,96,4,3,8,0.37836257309941523,0.851266
most_frequent,148,31,18,5,13,0.37836257309941523,0.316062
most_frequent,98,96,18,5,13,0.37836257309941523,0.750224
mean,73,61,16,17,8,0.4263578699836009,0.497874
median,73,61,16,8,3,0.44599623465120536,0.576409
median,148,31,18,8,8,0.42738351100924205,0.314622
median,73,61,16,7,6,0.4307851299664165,0.524071
median,233,96,18,8,3,0.44121724063244533,1.025311
most_frequent,98,61,16,5,3,0.4420124289831892,0.632804
median,73,61,16,7,6,0.4307851299664165,0.531278
most_frequent,148,31,18,3,3,0.4530634278002699,0.441907
median,73,61,16,7,6,0.4307851299664165,0.543463
median,73,31,18,3,6,0.4307851299664165,0.322623
most_frequent,98,6,18,5,3,0.4431998800419853,0.142835
most_frequent,98,6,16,5,3,0.4431998800419853,0.144328
most_frequent,233,6,18,5,3,0.4932629800913554,0.151246
most_frequent,233,6,18,5,3,0.4932629800913554,0.155478
median,73,96,18,8,6,0.44707585678345907,0.794918
median,73,61,18,5,6,0.4307851299664165,0.532266
most_frequent,233,61,16,7,6,0.41204864011881553,0.628197
median,73,61,16,7,3,0.44305678726731357,0.575071
most_frequent,73,61,16,7,6,0.4307851299664165,0.554511
most_frequent,233,96,18,3,3,0.46494073740857367,1.124609
most_frequent,98,6,18,8,3,0.42084244427493855,0.152692
median,73,61,16,7,6,0.4307851299664165,0.520782
most_frequent,98,31,18,5,3,0.428850035820796,0.367113
median,73,6,18,5,3,0.481665656150782,0.123722
median,73,61,16,3,6,0.4307851299664165,0.534238
median,73,96,18,8,3,0.44599623465120536,0.853767
median,73,61,16,7,3,0.44305678726731357,0.579674
median,233,96,18,8,3,0.44121724063244533,1.01705
median,148,31,18,7,6,0.41829835747964406,0.349387
median,73,61,16,7,6,0.4307851299664165,0.538911
most_frequent,98,6,18,8,3,0.42084244427493855,0.150063
median,73,61,16,7,6,0.4307851299664165,0.553099
median,233,96,18,8,6,0.39905628268201365,0.946877
median,148,31,18,8,3,0.41576771939345036,0.374499
most_frequent,148,31,18,8,3,0.41679652597781247,0.390446
most_frequent,73,96,18,8,6,0.44707585678345907,0.822617
